,IMEI,年龄,性别,大致消费水平,终端品牌,终端型号,月银行短信通知次数,使用汽车类APP的PV数,使用理财类APP的PV数,使用股票类APP的PV数,交往圈规模,是否有跨省行为,是否有出国行为,访问购物类网站的次数,访问IT类网站的次数,访问餐饮类网站的次数,访问房产类网站的次数,访问健康类网站的次数,访问金融类网站的次数,访问旅游类网站的次数,访问体育类网站的次数,访问汽车类网站的次数,访问时事类网站的次数,访问社会类网站的次数,访问文娱类网站的次数,访问招聘类网站的次数,访问教育类网站的次数,访问其他类网站的次数,访问网游类网站的次数
12,1595fd075b643e179b14e55666977d5c,67,女,低,苹果,A1586,20,0,0,0,78,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53e36f204bf21c90898adfe963145a3a,43,男,中,华为,CHM-UL00,60,0,0,0,97,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,76bfada08553b4258cd78952a5ab544b,17,男,低,SIMCOM,"SIM5350H-E,SIM5350M-E,SIM5350L-E",0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0c77f3cf4a05ffdb353bc16875742545,57,男,低,苹果,A1586,112,0,0,0,206,否,否,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,23e96678c0ec9d0980edec092d99f86f,47,女,低,宏达,PK76110,0,0,0,12,3,是,否,3,11.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,51c2036fe70e0ffa2ecd8ab71f4f7a28,29,男,低,苹果,A1332,0,0,0,0,6,否,否,4,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,e202e1f55042be5b999d0c6f551d2235,29,男,中,苹果,IPHONE6SPLUS(A1687),0,0,0,0,0,否,否,1,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,b13cfea88d48b5548aa70c385940b7dc,23,女,中,苹果,A1586,2,0,0,0,47,是,否,683,551.0,0.0,0.0,0.0,8.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0,13.0,0.0,13.0
20,49ab1947555acb180b4335c9e3b8eb6a,30,女,中,苹果,A1524,36,0,0,0,41,否,否,739,430.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,28.0
21,798d20c6124a6e8bd8d7627aabc4eca9,47,男,中,TCL,6055K,0,0,0,0,14,否,否,135,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
22,c40ce11f318ba2fa5218c6efb2b69c7e,41,男,中,华硕,ASUS_Z00AD,0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1e306e35f80de0df99427a24d1f0aeec,61,男,低,华为,H60-L12,0,0,0,1,26,否,否,27,16.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,453bb1abd692a060b5e9fbc4315e026d,34,男,低,华为,H60-L12,0,0,0,0,27,否,否,11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
25,620e947b91affaac95927579e2ae1355,28,男,中,普联,TL-TR861,0,0,0,38,0,是,否,2571,4393.0,0.0,31.0,0.0,129.0,164.0,5.0,0.0,2.0,162.0,0.0,0.0,95.0,0.0,72.0
26,97d5d38c5a5e6ad8bc8690dc9439e3c4,29,男,中,小米,2013121,26,0,0,0,24,是,否,76,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
27,98ef05022ec585782eed42fa8120b16b,52,女,低,苹果,A1332,206,0,0,0,70,是,否,33,84.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7e971425920aba0822b75a340f3b827f,40,男,高,苹果,A1700,270,0,0,0,130,是,否,475,329.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,1.0,0.0,86.0
29,3143271c374b4fedf0ec17ac1cba6e9b,37,不详,高,苹果,A1586,44,0,0,0,31,是,否,0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,6d86e30292b2426cd7852c860578fbae,17,男,低,SIMCOM,"SIM5350H-E,SIM5350M-E,SIM5350L-E",0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,5f0ead7b7e24822c1566ea102954e80b,40,男,高,苹果,A1431,26,0,0,0,16,是,否,108,392.0,0.0,1.0,0.0,13.0,0.0,0.0,8.0,86.0,0.0,112.0,0.0,0.0,0.0,0.0
32,bd24c0becaa696b3f5c5c8a516c77640,52,女,中,魅族,M571,58,0,0,0,110,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,6dc2800c7fafec2b360c243f1202039b,26,女,中,苹果,A1431,100,0,0,0,35,否,否,6098,185.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,450.0,1.0,0.0,0.0,0.0,0.0,21.0
34,aaa35615ad4baca248c68f13b7067a2e,32,男,中,小米,2015561,0,0,0,0,36,是,否,9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
35,907908ab3e6a939e56741067d8dc838e,32,女,低,华为,HUAWEI RIO-AL00,124,0,0,10,15,是,否,11,19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
36,63c70de94809c424db7176195813e47b,55,女,低,苹果,A1586,0,0,0,0,25,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,b46a2e07367680df91254422f9d82ade,24,女,中,苹果,A1586,0,0,0,0,50,是,否,786,1120.0,0.0,78.0,1.0,0.0,2.0,0.0,0.0,17.0,0.0,10.0,0.0,154.0,0.0,117.0
38,4346a0b5f58b41bcef23f7b8b76b6c42,29,女,低,苹果,A1699,814,0,0,0,52,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,391afeb37a2019b7afb41512dc05722a,18,男,低,索尼,D2203,0,0,0,0,3,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,681c1820394b07d00629e8661f9de629,27,男,中,小米,2014215,52,0,0,32,25,是,否,1168,3037.0,0.0,12.0,0.0,6279.0,0.0,0.0,7.0,296.0,1.0,678.0,0.0,16.0,0.0,434.0
41,9eb0d7789a30ac75a45dba301f1d9687,37,男,中,TELIT,"HE910-EUD,HE910-EUR",0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,62485bed2c6b70a2e4cb1dce2a9244e9,57,女,中,苹果,A1431,108,0,0,0,57,是,否,7,99.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,01f28382ccf29cb3c4ebd03c01ce832a,37,不详,低,CIB,MEXIKO-NAD6200CHN,0,0,0,0,8,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2330b4606aea5628b1da1219dce1cd4d,51,男,高,华为,DAV-703L,0,0,0,0,41,是,否,82,54.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,20.0
45,e3d041f27bad1de58af7601dc480357f,72,男,中,华为,E5573S-856,0,0,0,0,0,否,否,26,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0
46,25064cade7f409a37cfa544bd0f7e753,28,男,高,苹果,A1431,10,0,0,0,15,否,否,126,1353.0,0.0,0.0,0.0,1614.0,0.0,0.0,0.0,3.0,59.0,0.0,0.0,8.0,0.0,198.0
47,895875c3a3a795d43dde9407634e8206,66,男,中,三星,SHV-E250S,20,0,0,0,40,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,d99281ab3ac01426f7e7f087735777d2,34,男,高,苹果,A1528,236,0,0,0,83,是,否,611,405.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,43.0,0.0,4171.0
49,3d6b4b2dcd2c8478aadfb659b7ec4894,31,男,高,苹果,A1524,498,0,0,0,76,否,否,17,184.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
50,7988bb486116051437cfa88dc130078a,17,不详,低,华为,MU509,0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,26a46b7e6f163cc3cbcaa298ded5de82,34,男,中,华为,HUAWEI NXT-AL10,62,0,0,62,76,否,否,242,123.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,43.0,88.0,7.0,0.0,0.0,0.0,956.0
52,1d944efd908dcb1a005e362b222e9ffc,17,男,中,苹果,IPAD(A1460),0,0,0,0,0,是,否,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,65d0f6cf99af730bc9be131f12685342,54,男,低,小米,2014811,0,0,0,0,23,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,fa9bccfb7298c62fc8c5d80fb5392489,44,男,高,小米,2014719,8,0,0,0,116,是,否,82,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
55,2a263e5b373cec3cd75138b9981abe60,45,男,低,维沃,vivo X3S W,16,0,0,0,7,否,否,24,84.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
56,3a10c493444e29f4a65c3323fd259a9a,45,女,低,索尼爱立信,LT26i,8,0,0,0,7,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1f7f46eb0a7734426f18f427e4089da6,17,男,低,PEIKER,CIBECALLNAD6200CNWNC,0,0,0,0,23,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3ffd70550fde657873b200cef749f33c,17,不详,低,华为,MU509,0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3eaa2945b82e51801e8b5c8b928009f8,76,男,低,苹果,A1530,0,0,0,0,11,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,f8979e12af2345885d45c668594953fa,不详,不详,低,SIMCOM,SIM5320E,0,0,0,0,1,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,7372b5f1909471c29bdfd55302b567e4,29,男,中,苹果,A1524,0,0,0,0,24,否,否,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,b069b00d6340ba3792c7e6de1a3ec8dd,45,男,高,三星,GT-S7562C,0,0,0,0,78,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,e572d25a49c6fc875dec16f0ff087cbe,22,男,高,苹果,IPHONE5(A1428),30,0,0,0,45,否,否,342,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,6.0,0.0,44.0
64,8255b85d5585dab71af038869d375b5f,17,男,高,苹果,A1431,0,0,0,0,20,是,否,917,2021.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,193.0,0.0,4.0
65,6b36176df8e661b9a4779b967a0efaca,25,女,低,苹果,A1332,30,0,0,0,3,是,否,320,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0
66,d64bd2e46aa45cbc5adabb2a06dade2b,35,男,中,华为,HUAWEI MT7-TL10,2,0,0,0,11,是,否,18,37.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
67,581f35833c251d35f2c66031f7cb08ce,40,男,高,华为,HUAWEI TIT-AL00,0,0,0,0,90,否,否,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,08488078b8911f94ea775f413cfe2988,48,女,低,三星,GT-I9506,0,0,0,0,3,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,962a70729dc9237d7790b2cc0dfa1ec2,31,男,中,华为,"E5330BS-2,E5336BS-2",0,0,0,0,0,是,否,0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
70,ba70dd403d25a992ba03296d84b7d034,17,男,高,华为,E5372S-32,0,0,0,0,0,是,否,47,234.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,32.0
71,eed13af9bf5ce85ef6470037a522630d,22,女,低,索尼,D5833,0,0,0,0,4,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,49acea6603e3f642682e6d440bffc215,39,女,高,苹果,A1586,48,0,0,0,92,否,否,11,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
73,938f10f8b07914f144f769973ffd9378,32,男,中,三星,GT-I9300,38,0,0,64,52,否,否,0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,9385e13d3e07b36995ad56606489c212,47,女,中,苹果,A1586,0,0,0,0,13,是,是,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,437d2a5123ff1fff195ed50bed12e597,50,女,中,苹果,A1429,34,0,0,0,78,是,否,35,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,9.0
76,49d8837e748256c50cd83774d4a5383d,34,女,中,苹果,A1700,48,0,0,0,36,是,否,63,79.0,0.0,0.0,27.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
77,8702588fda7b0c95c55cb5eb18f05821,40,女,中,苹果,A1586,0,0,0,0,16,否,否,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
78,1c742136cbd35d2e0acf07fb01ff6b53,33,女,高,联想,Lenovo A516,0,0,0,0,14,是,否,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0
79,24890118242e7c296cdcefe2ff281211,37,女,低,三星,SM-A710FD,32,0,0,0,14,是,否,98,10.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,d257e696797f1c9837ed964c2ea64e2b,41,女,中,苹果,A1524,18,0,0,0,53,是,否,0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
81,8b38c4434ca13b76aef0988d6099da06,54,女,低,小米,2014915,0,0,0,0,4,否,否,0,68.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,66eb12992284e8f5d522b41fa88a7767,26,男,低,小米,2015617,16,0,0,0,38,是,否,6010,1041.0,0.0,10.0,0.0,935.0,0.0,0.0,0.0,31.0,19.0,1.0,0.0,3.0,0.0,369.0
83,ca6f1a6463534391e8cca325f4870c5f,35,男,低,诺基亚,5230,18,0,0,0,17,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,75f99a4bee229172a7f924a318c3d446,39,男,高,华为,H60-L12,82,0,0,0,149,是,否,1018,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,718.0
85,5143305640470ae062ef466bcd754277,17,男,低,SIMCOM,"SIM5350H-E,SIM5350M-E,SIM5350L-E",0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,80569d6c00f87259d145c167be308f66,46,男,低,欧珀,OPPO R2010,4,0,0,0,20,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ea152f72a29ea72a53f29a505d6e6245,31,女,高,苹果,A1586,84,0,0,0,171,否,否,87,1849.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0
88,421faa1e4a7074c117724464b076a908,37,男,低,小米,2013121,6,0,0,0,16,否,否,496,848.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,12.0,0.0,4.0
89,9ecab0dd1189036f1bdc0ce537563d9d,20,男,低,苹果,A1524,16,0,0,0,10,否,否,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,f358bb495646a9699a3415dda5ccadd7,34,男,低,苹果,A1429,2,0,0,0,37,是,否,13,237.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,47.0
91,95aa139c6223f00804371078fe92d484,34,男,低,诺基亚,C6-00,0,0,0,0,9,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,b898b9bc045abad680baa0ac9c3823e5,30,男,高,苹果,A1429,92,0,0,60,43,否,否,152,2781.0,0.0,0.0,0.0,91.0,0.0,3.0,0.0,184.0,7.0,42.0,0.0,1.0,0.0,49.0
93,92809ca68d34fbbef09a919c9dc1a26e,32,男,低,三星,GT-S5830,24,0,0,0,24,否,否,12,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
94,44c6215661ae71a86c096297139db1ac,47,不详,中,SIERRAWIRELESS,AC760S,0,0,0,0,0,否,否,84,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0
95,d4e04e23ec7198ed69252489f37dd3da,44,男,中,魅族,M578M,0,0,0,0,47,否,否,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,e9ac2d471fee97e102caad38bb662263,22,男,低,苹果,A1429,68,0,0,0,177,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,19095b3a37d231d8f6b502a2c67cc584,48,男,中,华为,CHM-UL00,12,0,0,0,78,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4410f8496f317878e06286c52d91500e,24,女,中,苹果,A1586,4,0,0,0,37,否,否,834,168.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0
99,bf9dfab7b0437bd6d414cc78da91ea11,17,男,中,奥珀,OPPO A33,26,0,0,0,32,是,否,597,133.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,90.0,0.0,1.0,0.0,42.0,0.0,8.0
100,9a62ecdcb2e37eee87f8cefcee283000,17,男,高,索尼,XM50h,8,0,0,0,28,否,否,103,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,88870a6a23523d07b71b3b18c8b6ef70,29,男,中,华为,"EC3372-871,EC5373U-819",0,0,0,0,0,否,否,99,47.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
102,e92a802e749964e107e5ef30c988f1d4,37,男,高,索尼,D6603,0,0,0,0,12,否,否,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,ad76fcccfde58f2d09ba43447e6920d9,17,男,中,三星,SM-T231,0,0,0,0,0,否,否,245,379.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,83.0,4.0,0.0,0.0,0.0,0.0
104,067808651e2751ea2b02b116da80d416,34,男,高,苹果,A1586,88,0,0,0,66,是,否,421,214.0,0.0,0.0,0.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
105,d7adfd938c162f252daaafbe1e5acabb,21,男,低,苹果,A1530,0,0,0,0,14,否,否,500,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,75.0,0.0,74.0
106,802d7780d2333f425e73e7bcab15dae2,34,男,中,华为,HUAWEI G7-UL20,8,0,0,0,42,否,否,23,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
107,154055acb58e6d2d289230a6ac82fc2c,46,男,高,苹果,A1586,154,0,0,0,345,否,否,0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,3d6a8f35aa4c383badf4eb96f59d9781,17,男,中,联想,Lenovo A850+,0,0,0,0,92,否,否,49,152.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,0.0,0.0,111.0
109,b3df1e735d096443e9d0bf1f2c2ac970,不详,不详,低,SIMCOM,SIM5310,0,0,0,0,1,是,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,6f41bf333879cbec792e41363451edb5,17,男,低,中兴,MF210,0,0,0,0,0,否,否,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0025bd95cc95b00655abf9fb36be4da0,34,男,中,苹果,A1332,38,0,0,0,45,是,否,156,49.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,47.0,15.0,77.0,3.0,65.0,0.0,6.0
112,31d97844a9fbaa42a260706f731a65f6,37,不详,高,华为,HUAWEI GRA-UL10,92,0,0,0,174,是,否,46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,f7aa50bde0f84de47f6403fcbd3d8769,57,男,高,小米,2013062,40,0,0,0,38,是,否,26,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,452ac44f0921853d904ec41c8341b9ee,17,男,高,苹果,A1586,520,0,0,0,182,是,是,404,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0
