,日期,IMEI,00:00-01:00经度,00:00-01:00纬度,01:00-02:00经度,01:00-02:00纬度,02:00-03:00经度,02:00-03:00纬度,03:00-04:00经度,03:00-04:00纬度,04:00-05:00经度,04:00-05:00纬度,05:00-06:00经度,05:00-06:00纬度,06:00-07:00经度,06:00-07:00纬度,07:00-08:00经度,07:00-08:00纬度,08:00-09:00经度,08:00-09:00纬度,09:00-10:00经度,09:00-10:00纬度,10:00-11:00经度,10:00-11:00纬度,11:00-12:00经度,11:00-12:00纬度,12:00-13:00经度,12:00-13:00纬度,13:00-14:00经度,13:00-14:00纬度,14:00-15:00经度,14:00-15:00纬度,15:00-16:00经度,15:00-16:00纬度,16:00-17:00经度,16:00-17:00纬度,17:00-18:00经度,17:00-18:00纬度,18:00-19:00经度,18:00-19:00纬度,19:00-20:00经度,19:00-20:00纬度,20:00-21:00经度,20:00-21:00纬度,21:00-22:00经度,21:00-22:00纬度,22:00-23:00经度,22:00-23:00纬度,23:00-00:00经度,23:00-00:00纬度
10,20160301,12c20e3b4d6eabd487699f57d4b69e9f,121.3854,31.30169001,,,,,,,,,,,,,121.3854,31.30169001,121.30019,31.25309001,,,,,,,,,,,,,,,,,,,121.3854,31.30169001,121.3854,31.30169001,121.3854,31.30169001,121.3854,31.30169001,121.3854,31.30169001,121.3854,31.30169001
11,20160301,3f9fadfeb5191ab77bf3871e44e8be39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.43913,31.32918001,121.43913,31.32918001,,,,,121.44496,31.30369001,121.41894,31.27560001,,,121.44069,31.30719001,121.49689,31.27147001,,
12,20160301,298def24cc4841a7c61ca791acb6c843,,,,,,,,,,,,,121.49861,31.18056001,121.52345,31.19697001,,,,,,,,,,,,,,,,,121.54638,31.22641001,,,121.49861,31.18056001,121.49861,31.18056001,121.49861,31.18056001,,,,,,
13,20160301,bdbcc5858183ce08a0533515889eb81c,,,121.4994,31.16260001,,,,,,,121.4994,31.16260001,,,121.5526889,31.2060889,,,,,,,,,,,,,121.4994,31.16260001,121.4994,31.16260001,,,,,121.46231,31.20315001,121.40944,31.19750001,,,,,,,,
14,20160301,681b8a52e9d92609f744401e77a9b55e,121.58685,31.34078001,,,121.47842,31.34267001,,,121.47,31.32700001,121.48041,31.33947001,,,,,,,,,121.39205,31.18383001,121.34466,31.18122001,,,,,121.50381,31.27336001,,,121.48,31.30430001,,,121.54314,31.31482001,121.48542,31.30730001,121.37913,31.19474001,,,,,,
15,20160301,4e4bbb36b6934e973dde3374f97a2e72,,,121.48,31.30430001,,,,,,,,,,,,,121.48675,31.26817001,,,,,,,121.48951,31.23302001,,,,,,,121.48951,31.23302001,,,,,,,121.472805,31.22320601,121.472805,31.22320601,121.472805,31.22320601,,
16,20160301,10d21dd4a656f21de52dc9170ed71b4e,,,,,,,,,,,,,,,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,121.5263,31.28570001,,,,,,,,,,,,,,
17,20160301,570d6a01243d6a58afebf0303485aeb5,121.53297,31.27642001,,,,,,,,,,,,,,,121.53297,31.27642001,121.53297,31.27642001,121.53297,31.27642001,,,,,121.53157,31.27227001,121.53157,31.27227001,121.53157,31.27227001,121.53157,31.27227001,121.53157,31.27227001,121.54441,31.26748001,121.543,31.27190001,121.54055,31.28194001,,,121.53297,31.27642001,,
18,20160301,fe8375c38b772a91983150c730a58e74,,,,,,,,,,,,,,,,,,,,,121.30001,31.46552,121.30001,31.46552,,,121.30001,31.46552,121.30001,31.46552,,,,,121.30001,31.46552,121.30001,31.46552,121.31191,31.48513,121.30001,31.46552,121.30001,31.46552,121.30001,31.46552,121.30001,31.46552
19,20160301,ccf89fc6be2c4984246842430fbf8a72,121.39595,31.28150001,,,,,,,,,,,,,121.39595,31.28150001,121.39595,31.28150001,,,,,121.39108,31.27637001,,,121.43814,31.07740001,,,,,,,,,,,121.77408,31.19581,,,121.39108,31.27637001,121.38133,31.26265001,121.38133,31.26265001
20,20160301,fc3c4528a17581ee9bad44b4aa63b814,,,,,,,,,,,,,,,121.42884,31.24553001,121.42093,31.19291001,121.42093,31.19291001,,,,,,,121.42093,31.19291001,121.42093,31.19291001,121.42093,31.19291001,121.38802,31.19512001,,,,,121.40951,31.18034001,121.42884,31.24553001,,,,,,
21,20160301,cd9a2400ad9c38ebef24cec78ded1d9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.46936,31.21600001,121.40996,31.23860001,121.40628,31.23547001,121.40628,31.23547001,121.40628,31.23547001,121.40628,31.23547001,121.414027,31.24256401
22,20160301,6323ddec10aea630db7337b95ab68d66,,,121.54462,31.32924001,,,,,,,,,,,121.54462,31.32924001,,,121.40996,31.23860001,,,,,,,,,,,121.51355,31.27829001,121.52658,31.22424001,,,121.48909,31.18010001,121.41509,31.20246001,,,121.45747,31.23455001,,,121.55499,31.27987001
23,20160301,5cd28c8cb5a468fe1fb491ae7818e079,121.407,31.20950001,,,121.40966,31.21061001,,,,,121.40966,31.21061001,121.40966,31.21061001,,,121.69444,31.19444,121.69444,31.19444,121.69444,31.19444,,,121.46584,31.23136001,121.0091,30.97968,121.46584,31.23136001,121.46666,31.23527001,121.0091,30.97968,121.40259,31.13938,121.00881,31.00013,121.4935,31.24266001,121.49911,31.23626001,,,,,121.42639,31.18750001
24,20160301,550a90bf1a17580a6863de31bfffe8b8,,,,,121.3807,31.18640001,,,,,,,,,,,,,121.37528,31.18484001,121.34466,31.18122001,121.35172,31.12850001,121.38424,31.19450001,121.38483,31.16635001,,,,,,,,,,,121.3794,31.19206001,121.39381,31.18443001,,,121.39591,31.13346001,,
25,20160301,0557c7e42106f5da2602071beb260291,,,,,,,,,,,,,121.52028,31.32819001,121.5008,31.26198001,121.49449,31.24795001,,,,,,,,,,,,,,,,,,,,,,,121.49134,31.24932001,121.50682,31.31073001,,,,
26,20160301,3227169f54da734d52332fbf3b5696f0,121.4567,31.34019001,,,121.44517,31.33911001,121.24763,31.25508,,,121.4567,31.34019001,121.41255,31.19954,,,,,,,121.4567,31.34019001,121.4567,31.34019001,,,,,121.4567,31.34019001,,,,,121.4567,31.34019001,,,,,121.44517,31.33911001,,,,,121.4567,31.34019001
27,20160301,b5d3cda33baba18e5639adfad595adf5,,,,,,,,,,,,,121.4374,31.33484,121.42824,31.34333,121.4374,31.33484,121.42824,31.34333,121.42824,31.34333,121.4374,31.33484,121.42824,31.34333,,,,,,,,,,,,,,,121.42824,31.34333,,,121.4374,31.33484,121.4374,31.33484
28,20160301,11828f3c78ea0f2b81497816945ebe1a,,,,,,,,,,,,,,,121.42096,31.28031001,121.45583,31.19056001,121.4968,31.21252001,121.50471,31.20658001,,,121.4968,31.21252001,,,121.407,31.20950001,,,121.4869,31.23450001,,,,,121.32198,31.16155001,,,121.48,31.30430001,,,,
29,20160301,00a66ccb4aabf39cfdcfdfb9a24377d5,,,,,,,,,,,,,121.48129,31.21632001,,,121.49277,31.21722001,121.48633,31.21750001,,,,,,,,,,,,,,,,,121.48129,31.21632001,121.48129,31.21632001,121.48129,31.21632001,,,121.48129,31.21632001,,
30,20160301,8ab6927f0ff7ee4d83f7e548ae1b3433,121.38857,31.25637,121.38857,31.25637,121.38857,31.25637,121.38857,31.25637,121.38857,31.25637,121.38857,31.25637,121.38857,31.25637,121.38805,31.27138,,,,,121.40492,31.23878001,,,,,,,,,121.42388,31.24780001,,,121.40492,31.23878001,,,,,121.40409,31.14799001,,,,,,
31,20160301,c78d33dda86942718749a2ee628bb339,,,121.5430694,31.1867611,121.5430694,31.1867611,121.5430694,31.1867611,121.5430694,31.1867611,121.5430694,31.1867611,,,,,121.58125,31.1873306,121.58125,31.1873306,,,,,,,,,,,,,,,,,,,121.49724,30.92142001,121.5064306,30.9085306,,,,,,
32,20160301,0022b14e28dba6f8890eb8d51f24559f,121.564,30.91370001,121.564,30.91370001,121.564,30.91370001,121.564,30.91370001,121.564,30.91370001,,,,,121.55565,30.86149001,121.55565,30.86149001,,,,,,,,,,,,,,,,,,,121.55565,30.86149001,,,,,,,121.55565,30.86149001,121.55565,30.86149001
33,20160301,45ffb2e769c1598e3e0a7411bee75ede,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,,,121.43527,31.27944001,121.4534,31.24734001,121.4534,31.24734001,,,121.455,31.30778001,,,,,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001,121.455,31.30778001
34,20160301,37d6c672d454d8d597a9375ecead56a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5163115,31.24194276,,,121.68547,31.19662001,121.68547,31.19662001,,,,
35,20160301,bbfa622cca10cd9c53d4e6bc706bff34,121.67972,31.29634001,121.67972,31.29634001,,,121.67972,31.29634001,121.67972,31.29634001,,,121.67972,31.29634001,,,,,121.557,31.24110001,121.616,31.25560001,,,,,,,,,121.53917,31.22840001,121.49249,31.28710001,,,121.46147,31.24205001,,,,,121.67972,31.29634001,,,,
36,20160301,2666932cd36c8afb07c53dcbdadbf39b,121.48909,31.18010001,121.48909,31.18010001,121.48909,31.18010001,,,,,121.48909,31.18010001,,,121.48909,31.18010001,121.48909,31.18010001,,,,,,,,,,,,,,,,,,,,,,,121.48909,31.18010001,121.48909,31.18010001,121.48909,31.18010001,121.48909,31.18010001
37,20160301,d8d8d89d44b22ba02df68dfd6d18bb13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20160301,4c6cc119a313d2110d9a8eaab29a4ec0,,,,,,,,,,,,,,,,,,,121.40527,31.30990001,,,,,,,121.42825,31.26820001,121.42399,31.26786001,121.42399,31.26786001,121.42399,31.26786001,121.40527,31.30990001,,,,,121.397,31.30980001,121.40527,31.30990001,,,121.40527,31.30990001
39,20160301,f0ef7a763c0b64727305825e3a52d8da,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.44968,31.12038,121.4232,30.98793001,121.4232,30.98793001,121.42028,31.00278001,,,121.42028,31.00278001,,,,,121.42028,31.00278001,121.42028,31.00278001,121.42028,31.00278001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.35555,31.15336001,121.44968,31.12038,121.44968,31.12038
40,20160301,6e3f2ec7d4275c66e5f6e886df5a8637,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,,,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,,,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001,121.53442,31.19456001
41,20160301,846279b5acf7af65a046962f768a147b,,,121.33555,31.17361,,,121.33555,31.17361,121.33555,31.17361,121.33555,31.17361,,,121.33555,31.17361,121.33555,31.17361,,,121.33998,31.17675,121.33998,31.17675,,,121.5001,31.2327,121.45333,31.22367001,,,121.43262,31.18580001,121.43325,31.19161001,121.43325,31.19161001,,,121.34466,31.18122001,121.34466,31.18122001,,,121.34466,31.18122001
42,20160301,0a1516d218739245e848f75454f1e100,,,,,,,,,,,,,,,121.4237,31.35087001,,,,,,,121.41702,31.34398001,,,,,,,,,,,,,121.4237,31.35087001,121.4237,31.35087001,121.4237,31.35087001,,,,,,
43,20160301,5f5f67a408f01a98975b50886149d796,,,,,,,,,,,,,,,,,,,121.36292,31.10447001,121.377977,31.15943001,121.3755,31.14860001,,,,,,,121.47861,31.21289001,,,,,,,,,,,,,,,,
44,20160301,09e761a992c099af7d6496aa62a811a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20160301,f06fbd14d139349dc379facd6aaf996b,,,,,,,,,,,,,,,,,,,,,,,121.584,31.25377,,,121.65938,31.27690001,,,,,121.65214,31.26767001,,,,,,,121.65938,31.27690001,,,,,,
46,20160301,63083b71a68df668265025643156de84,,,,,,,,,,,,,,,121.2222194,31.0158306,121.511,31.23139001,,,,,,,,,,,,,,,,,,,121.552833,31.2052202,121.5075,31.23167001,,,,,121.5075,31.23167001,,
47,20160301,17e3bf243c917887610dbf290c07441d,121.48913,31.25130001,,,,,,,,,,,,,121.48913,31.25130001,,,121.39583,31.15944,121.44355,31.21520001,,,,,,,121.455,31.30778001,121.45111,31.23107001,,,121.443,31.20612001,121.40333,31.21361001,121.36788,31.18459001,121.42268,31.29370001,121.35555,31.15336001,121.77671,31.18702001,121.68603,31.20265001
48,20160301,db59343cefe71d7ab3150ea42eb62a5b,,,,,,,,,,,,,,,,,,,,,121.2475889,31.0123695,121.2475889,31.0123695,121.2475889,31.0123695,121.2475889,31.0123695,,,121.2475889,31.0123695,121.20495,31.0157389,121.20495,31.0157389,,,,,,,,,121.20495,31.0157389,121.20495,31.0157389
49,20160301,dcae7d028bfa186eaf9a6741e62706f2,,,,,,,,,,,,,121.51385,31.27246001,121.51385,31.27246001,121.51385,31.27246001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20160301,4b4c2efb65a63020492200019a3758a4,121.22306,31.20528,121.22306,31.20528,121.22306,31.20528,,,,,,,,,,,121.4665,31.27659001,,,,,,,,,,,121.47485,31.27278001,,,121.47485,31.27278001,121.47485,31.27278001,,,,,121.4665,31.27659001,121.47485,31.27278001,121.47485,31.27278001,121.47485,31.27278001
51,20160301,98f9aaede7ebe3ee72a27677a78df894,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,121.46,31.25389001,,,,,,,121.31842,31.46303001,,,,,,,,,,,,,,,,,,,121.46215,31.25113001,121.46,31.25389001,121.46,31.25389001
52,20160301,8a799fe5ad19a5a2129b80def8d14189,,,121.48675,31.26817001,,,,,121.48675,31.26817001,,,,,,,121.48675,31.26817001,121.4763226,31.27177525,121.47811,31.27148001,121.47811,31.27148001,,,,,,,,,,,,,,,121.48675,31.26817001,,,,,121.48675,31.26817001,,
53,20160301,71d4fa2bef714227d76f849790dbee79,,,,,,,,,,,121.50188,31.16696,121.50188,31.16696,121.50188,31.16696,121.50188,31.16696,121.50188,31.16696,121.50188,31.16696,121.50188,31.16696,121.4542889,31.2389,121.52968,31.24360001,121.52028,31.12715,121.51965,31.23784001,121.53056,31.23595001,121.52028,31.12715,121.52028,31.12715,121.52471,31.23991001,121.52028,31.12715,121.52028,31.12715,,,,
54,20160301,770a0efd7d8be0a8f056026ddf30c82f,,,,,,,121.595847,31.276567,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.594,31.27800001,121.50972,31.20805001,,,,,,,121.594,31.27800001,,,,,121.51504,31.18566001,121.53391,31.16557001,,,121.53391,31.16557001
55,20160301,d16d7470b33fdd5307d0077cbe2cf6fe,121.39591,31.13346001,121.39591,31.13346001,121.39591,31.13346001,121.39591,31.13346001,121.39591,31.13346001,121.39591,31.13346001,121.39591,31.13346001,,,121.43836,31.17620001,121.45264,31.21434001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.45298,31.21525001,121.43584,31.19481001,121.42934,31.13303001,,,,,121.43114,31.11482001,121.43114,31.11482001
56,20160301,4d0c0b73d112440809645437bea0e91a,,,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,121.377977,31.15943001,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,,,121.37055,31.15916001,121.37055,31.15916001,,,121.37055,31.15916001,121.37055,31.15916001,121.37055,31.15916001,,,121.37055,31.1591611,,,121.37055,31.1591611,121.37055,31.15916001,,
57,20160301,637b28f32fcbe2b766d7fde6c6c05ce2,,,,,,,,,,,,,,,,,121.53026,31.25632001,121.53026,31.25632001,,,,,121.53026,31.25632001,,,,,,,,,,,,,,,,,,,,,,
58,20160301,48f346656853396ebdb7a8a47f596e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20160301,35062a5433aef1dd0cb9fade5587115d,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60557,31.20601,121.60065,31.20538,,,,,,,,,,,,,121.62018,31.25604,,,,,,,,,,,,,121.60557,31.20601,121.60557,31.20601
60,20160301,02dcc66609f19424160990dab2d4c3f8,121.4974111,31.1408389,121.34543,31.12246,121.4974111,31.1408389,121.4974111,31.1408389,121.4974111,31.1408389,121.4974111,31.1408389,,,121.4974111,31.1408389,121.4790194,31.1458389,,,,,,,,,,,,,,,,,121.5257,31.18530001,121.693434,31.19697001,121.69343,31.19697001,,,,,121.53324,31.06319,,
61,20160301,c77d6eba65620c677e0ca43906c3511f,,,,,,,,,,,,,,,121.51298,31.31471001,121.48523,31.29626001,121.48523,31.29626001,121.48523,31.29626001,121.48523,31.29626001,121.48528,31.29694001,,,121.48523,31.29626001,121.48523,31.29626001,121.48523,31.29626001,121.48523,31.29626001,121.51298,31.31471001,121.51298,31.31471001,121.51298,31.31471001,121.51298,31.31471001,121.51298,31.31471001,121.51298,31.31471001
62,20160301,4dd403244611ec8ac972421b3ba58e8c,,,,,,,,,,,,,,,121.48748,31.20457,121.48714,31.20161001,121.48714,31.20161001,121.48714,31.20161001,,,,,,,121.4887,31.20736001,,,121.48215,31.21176001,121.48333,31.21361001,,,,,121.48748,31.20457001,,,,,121.48714,31.20161001
63,20160301,0476b9a2e582f3ba0ac4149c331a7fc5,,,,,,,,,,,,,,,121.52046,31.26653,121.52046,31.26653,121.52046,31.26653,121.52046,31.26653,121.52046,31.26653,121.52046,31.26653,121.51112,31.30456,121.52046,31.26653,,,121.52046,31.26653,121.52046,31.26653,,,,,,,,,,,,
64,20160301,d93f372291db72117e39ea369934e9d4,,,,,,,,,,,,,,,121.24409,31.40008001,,,,,,,,,,,121.15214,31.29618001,,,,,,,,,,,,,,,,,,,,
65,20160301,76a68e0a84b05080b8dce59afd089ed3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20160301,3d7fa64f129e53426d7ab5ae33c1b831,,,,,,,,,,,,,,,,,,,121.4454115,31.21479516,121.43666,31.28500001,121.43666,31.28500001,121.43666,31.28500001,121.43666,31.28500001,,,,,,,,,,,,,,,,,,,,
67,20160301,e65edf9e1d8195d5535b59e4dd323671,,,,,,,,,,,,,121.579,31.25450001,121.35227,31.25163,121.35227,31.25163,121.53797,31.19516001,121.53797,31.19516001,121.35227,31.25163,121.53797,31.19516001,121.53797,31.19516001,121.35227,31.25163,,,,,,,121.579,31.25450001,,,,,,,121.579,31.25450001,,
68,20160301,ea079a6b55ff0af49e547fb621061081,,,,,,,,,,,,,,,,,,,,,,,,,121.40388,31.11638001,121.36916,31.12416001,121.36916,31.12416001,121.36596,31.15517001,,,,,121.1916611,31.1527695,,,,,,,,,,
69,20160301,e5ce0acd4535d35312e3dd8bbf325c87,,,,,121.50426,31.18687001,121.50426,31.18687001,,,,,,,121.51504,31.18566001,,,,,121.40966,31.21061001,,,121.40966,31.21061001,121.40966,31.21061001,121.40966,31.21061001,121.40966,31.21061001,121.40966,31.21061001,121.40966,31.21061001,121.40966,31.21061001,,,,,,,,,121.51504,31.18566001
70,20160301,4d03c0e2650bcfae2d1a9ed9b8f9a173,121.52972,31.20044001,121.52418,31.15285,121.52418,31.15285,121.52418,31.15285,121.52418,31.15285,,,,,,,121.52418,31.15285,,,,,121.62608,31.22348001,121.52418,31.15285,,,121.52418,31.15285,121.52418,31.15285,121.52418,31.15285,,,,,,,121.54031,31.19617001,121.52418,31.15285,,,,
71,20160301,f77e1cba6b0d3db791e8b1422ab848a2,121.493,31.22582001,121.493,31.22582001,121.493,31.22582001,121.493,31.22582001,121.493,31.22582001,121.493,31.22582001,121.493,31.22582001,121.495,31.22638901,121.4799,31.23779001,,,121.47768,31.23846001,121.47768,31.23846001,,,121.47707,31.23762001,,,121.47707,31.23762001,121.47707,31.23762001,121.47768,31.23846001,121.48258,31.23900001,,,,,121.493,31.22582001,121.493,31.22582001,121.495,31.22638901
72,20160301,250ab644e114317aefbf49a9ae4a5806,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,,,,,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,,,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223,121.4411667,31.19747223
73,20160301,c60138d7883c2967f04eaea68aba626d,,,,,,,,,,,,,,,,,,,,,,,121.35809,31.11769001,,,,,121.31711,31.16115001,121.3512,31.10583001,,,121.38212,31.11748001,,,,,,,121.46222,31.12722001,,,,
74,20160301,cc2671a1fce32c3296468249a0261ee1,,,,,,,,,,,,,,,,,121.1936194,31.0964889,121.1936194,31.0964889,,,121.8468389,30.8819306,121.37377,31.19142001,,,,,,,121.87846,30.88014,,,,,,,,,,,,,,
75,20160301,bfa67be1f76aa5fe45a5d2ef8f769909,,,,,,,,,,,,,,,,,121.49233,31.27750001,121.48032,31.24848001,,,,,,,,,,,,,,,,,,,121.53164,31.23012001,121.53069,31.22884001,121.47552,31.23922001,121.49453,31.27447001,,
76,20160301,902a2b93a2c15d6a18fc08fa78c108f9,,,,,,,,,,,,,,,121.41822,31.23032001,121.42091,31.22743001,,,121.42091,31.22743001,121.41822,31.23032001,,,,,121.42091,31.22743001,121.42091,31.22743001,121.42091,31.22743001,121.41793,31.23638001,,,,,,,121.41793,31.23638001,,,,
77,20160301,3ea741a4be90dadd5cb46d40d3daa065,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.5003,31.25650001,121.50151,31.25261001,121.5003,31.25650001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,,,121.50151,31.25261001,,,121.50151,31.25261001,121.50151,31.25261001,121.50151,31.25261001,,,121.5003,31.25650001,121.50151,31.25261001,121.50151,31.25261001
78,20160301,ea7542c447a5eb0c39158f8ef4a55dfe,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,121.52404,31.2898,121.55434,31.27565,121.55434,31.27565,,,121.55434,31.27565,121.55434,31.27565,,,,,121.49453,31.30487,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,,,,,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154,121.48638,31.3154
79,20160301,82ffd2638d76aa77024d6c389730bab2,,,,,,,,,,,,,,,,,,,121.48659,31.25040001,121.48659,31.25040001,121.48694,31.25250001,,,,,121.48659,31.25040001,121.48659,31.25040001,121.48659,31.25040001,,,,,,,,,,,,,,
80,20160301,344cc4dc0d7c13595a533accb54faa05,,,,,,,,,,,,,,,,,,,121.49674,31.37835001,,,121.4864775,31.27885991,,,,,,,,,,,,,,,,,,,,,,,,
