,0,1,2,3,4,5,6,7,8,9,10,11
15,1507G6983069,街面秩序,占道无证照经营,反映该处现有乱设摊现象（每天18：00--20:00开始持续至次日凌晨，烧烤摊，5--6个），油烟扰民，反映至今未有改善，城管走后设摊又会反复，要求城管部门设立长效管理机制，对此不满，请尽快核实处理（信息保密，无需回复）,0,0,2015-7-4 21:07,2015-7-4 21:20,2015-7-4 21:20,2015-7-5 16:48,12319上报,乳山路崂山四村51号附近
16,1507H7049913,街面秩序,占道无证照经营,反映上述地址现有大量乱设摊现象，影响通行，请尽快核实处理并回复。,26891.39487,-20727.63135,2015-7-9 5:38,2015-7-9 5:57,2015-7-9 5:57,2015-7-13 10:35,12319上报,向阳路234号
17,1507G6931587,街面秩序,占道无证照经营,反映该处有严重的设摊现象（现在有设摊，摊位较多），影响居民生活，要求即刻处理，请核实处理。不需回复。,0,0,2015-7-1 22:40,2015-7-1 23:04,2015-7-1 23:04,2015-7-6 10:26,12319上报,龚华路320号左右
18,1507G6931609,街面秩序,占道无证照经营,反映该处有严重的设摊现象（现在有设摊，摊位较多），影响居民生活，请核实处理。不需回复。,0,0,2015-7-1 22:46,2015-7-1 23:04,2015-7-1 23:04,2015-7-6 10:25,12319上报,龚华路320号左右
19,1507G6929554,街面秩序,占道无证照经营,反映该处下午14点开始有大量乱设摊现象（烧烤摊），影响周围居民正常生活，请核实处理回复。,2001.055166,-6607.141672,2015-7-1 17:34,2015-7-1 17:47,2015-7-8 7:34,2015-7-8 14:12,12319上报,昌里路历城路
20,1507G6931620,环卫市容,跨门营业,反映上述地址店铺跨门营业（夜间），严重影响周边居民生活，请核实处理并回复。（回复电话：13816630360）,0,0,2015-7-1 22:52,2015-7-1 23:06,2015-7-1 23:06,2015-7-6 10:10,12319上报,东建路353号（港泰）
21,1507G6953875,街面秩序,占道无证照经营,【与诉求人先行联系，其对城管不作为表示不满，要求相关管理部门核实处理并回复】反映该处有大量乱设摊，虽反映人多次举报，但城管从来没处理过，反映人认为城管不作为，对此表示极度不满，请核实处理并回复。,16698.8922,-5025.668262,2015-7-2 17:02,2015-7-2 17:30,2015-7-2 17:30,2015-7-8 7:35,12319上报,华夏东路940弄(门口)
22,1507G6954364,环卫市容,跨门营业,反映该处现有跨门营业现象，对此不满，请核实处理并回复。,15285.5106,-3740.382661,2015-7-2 18:44,2015-7-2 18:48,2015-7-2 18:48,2015-7-7 11:00,12319上报,盛夏路益江路（小龙虾店）
23,1507G6946576,街面秩序,占道无证照经营,反映该处存在乱设摊现象（搭建大棚卖烧烤，每天晚上都有，持续至次日凌晨，该处大棚上还挂了一块大红色塑料牌，显示为：东北烧烤），油烟扰民，对此不满，请尽快核实处理并回复（联系电话：15618053729）,25514.88917,-20665.49288,2015-7-2 11:36,2015-7-2 12:09,2015-7-2 12:09,2015-7-6 10:05,12319上报,惠南镇西门路听悦路
24,1507H7002086,街面秩序,占道无证照经营,反映该处每天全天存在大面积设摊（10-20个摊位），影响通行，请尽快核实处理并回复。,25180.73451,-20506.32016,2015-7-6 9:49,2015-7-6 10:01,2015-7-6 10:01,2015-7-6 14:20,12319上报,大川公路拱乐路
25,1507G6982615,街面秩序,占道无证照经营,反映该处现有卡车贩设摊现象（卖荔枝），此影响市容和周边居民生活。故望相关部门尽快核实处理并回复。（河南牌照尾号：808）,0,0,2015-7-4 18:43,2015-7-4 19:07,2015-7-4 19:07,2015-7-9 7:11,12319上报,三岔港江心沙路（桥头）
26,1507G6929882,环卫市容,暴露垃圾,反映该处现有大量生活垃圾堆积，影响市容及周边居民生活，反映至今未见清理，对此不满，请核实处理。,0,0,2015-7-1 18:28,2015-7-1 18:34,2015-7-1 18:34,2015-7-6 12:16,12319上报,金桥路金台路（九华山农庄附近）
27,1507G6987760,街面秩序,占道无证照经营,反映该处整天有乱设摊现象（高峰时有20多个摊位），再次来电催办，请核实处理并回复。,7193.736099,-2944.755332,2015-7-5 12:25,2015-7-5 12:28,2015-7-5 12:28,2015-7-8 7:17,12319上报,玉兰路(花木地段医院门口)
28,1507H7029590,街面秩序,占道无证照经营,反映该处6:00左右开始有乱设摊现象（卖西瓜），请核实处理。,11554.25366,-17370.22319,2015-7-8 6:07,2015-7-8 7:10,2015-7-8 7:10,2015-7-9 9:22,12319上报,航头镇航瑞路175弄门口
29,1507G6931847,街面秩序,占道无证照经营,反映该处现在有设摊现象（烧烤），请核实处理并回复。,11620.27988,-1732.790019,2015-7-1 23:58,2015-7-2 0:08,2015-7-2 0:08,2015-7-6 11:00,12319上报,杨镇路63号对面
30,1507H7048700,街面秩序,占道无证照经营,【信息保密，无需回复】反映该处现有大量乱设摊现象，严重影响车辆通行，对此表示不满，请尽快处理。（无需回复，信息保密）,23136.99631,-19295.02876,2015-7-8 17:19,2015-7-8 17:31,2015-7-8 17:31,2015-7-13 14:53,12319上报,南季路近南六公路
31,1507H7048742,街面秩序,占道无证照经营,【信息保密，无需回复】反映该处每天16：00开始有乱设摊（大面积，食品）请核实处理。（信息保密）,14502.73156,-12314.78424,2015-7-8 17:25,2015-7-8 17:28,2015-7-8 17:28,2015-7-10 15:43,12319上报,叠桥路128号周边园区到底
32,1507G6932964,街面秩序,占道无证照经营,反映上述地址现有大量乱设摊现象，影响通行，请尽快核实处理。,26891.39487,-20727.63135,2015-7-2 5:46,2015-7-2 5:55,2015-7-2 5:55,2015-7-2 9:55,12319上报,向阳路234号
33,1507G6977077,环卫市容,跨门营业,反映该处正在跨门经营，夜排档，请核实处理。,2213.54739,-9699.171595,2015-7-4 2:20,2015-7-4 2:48,2015-7-4 2:48,2015-7-8 7:26,12319上报,上浦路长清路
34,1507G6929410,街面秩序,占道无证照经营,反映该处每天09:00到21:00有10多个设摊，影响市容通行及周边居民生活。该问题已反映多时，但至今未见问题有所改善，反映人称川沙城管联系其称会处理此事，但情况未改善表示不满，故望相关部门尽快核实处理并回复。,21606.3701,-4327.96007,2015-7-1 17:16,2015-7-1 17:58,2015-7-1 17:58,2015-7-3 13:18,12319上报,川沙路4889弄靠近（潮人商城门口）
35,1507G6950597,街面秩序,占道无证照经营,（信息保密，无需回复。）反映该处现在存在大量乱设摊，请处理。（信息保密，无需回复。）,15572.31618,3618.145724,2015-7-2 14:50,2015-7-2 14:59,2015-7-2 14:59,2015-7-3 11:29,12319上报,金穗路1661号门口
36,1507G6954302,环卫市容,跨门营业,反映该处水果店现在有跨门营业现象，严重影响通行，其表示其车辆无法通过，要求尽快解决，请尽快核实处理（无需回复）,27014.06661,-11764.03368,2015-7-2 18:32,2015-7-2 18:36,2015-7-2 18:36,2015-7-3 10:45,12319上报,南祝路近浦红西路
37,1507G6954625,环卫市容,暴露垃圾,反映该处有一堆垃圾堆积，影响居民生活，请核实处理并回复。,13547.37755,7797.867366,2015-7-2 19:44,2015-7-2 19:53,2015-7-2 19:53,2015-7-3 9:11,12319上报,金京路赵家沟河边附近
38,1507G6929282,环卫市容,暴露垃圾,反映该处有大量混合垃圾堆积（建筑垃圾、生活垃圾等），影响市容，请速核实处理并回复。,36508.5555,-27553.28766,2015-7-1 17:00,2015-7-1 17:09,2015-7-1 17:09,2015-7-6 15:15,12319上报,书院镇万松路北侧
39,1507G6929316,街面秩序,占道无证照经营,（信息保密 无需回复）反映该处每天17:00--21:00有大面积无证摊位（贩卖水果、小吃），影响市容和通行。故望相关部门尽快核实处理。（信息保密 无需回复）,0,0,2015-7-1 17:04,2015-7-1 17:09,2015-7-1 17:09,2015-7-6 10:57,12319上报,张江镇广兰路青桐路
40,1507G6946399,街面秩序,占道无证照经营,反映该处现存在大量乱设摊（贩卖种类多），堵塞交通，占据车道。多次来电该问题始终得不到解决，反映人自行也联系过当地相关部门，但对方总不是当场处理，要拖一段时间才能处理，故对相关处理部门的执法态度存有异议，有选择性执法，外地摊位不处理，故望相关部门尽快核实处理并回复。,0,0,2015-7-2 11:21,2015-7-2 13:16,2015-7-2 13:16,2015-7-6 13:30,12319上报,南六公路上海野生动物园大门口
41,1507H7041902,街面秩序,占道无证照经营,【无需回复】反映上述地址每天22:10开始至次日04:00以后有2个（烧烤、夜排档）摊位乱设摊现象，对此不满，请核实处理。（信息保密，不回复）,5485.751202,-2085.93642,2015-7-8 12:31,2015-7-8 12:39,2015-7-8 12:39,2015-7-9 12:23,12319上报,峨山路东方路
42,1507G6972973,环卫市容,跨门营业,反映上述地址的洗车店每天07:30--21:00有跨门营业，影响出行，反映人称该现象多次反映后未改善，认为当地康桥城管不作为，请核实处理并回复。,0,0,2015-7-3 15:03,2015-7-3 15:07,2015-7-3 15:07,2015-7-8 16:15,12319上报,上南路6401号
43,1507G6972771,环卫市容,暴露垃圾,【与诉求人先行联系，其表示地址为垃圾在无名小路上，人民西路近大川公路300米以西】反映该处有垃圾堆积，请核实处理并回复。联系电话：13311782820,25186.34642,-20389.26856,2015-7-3 14:57,2015-7-3 15:12,2015-7-3 15:12,2015-7-8 7:27,12319上报,无名小路上，人民西路近大川公路300米以西
44,1507G6983057,街面秩序,占道无证照经营,反映该处现在有流动摊位（三个烧烤），油烟味严重，请核实处理并回复。,12802.82644,3431.803222,2015-7-4 21:01,2015-7-4 21:18,2015-7-4 21:18,2015-7-7 10:52,12319上报,佳高路靠近金高路(金桥新城一期旁边)
45,1507H7042043,街面秩序,占道无证照经营,【无需回复】反映上述地址每天08:00到20:00有乱设摊现象（数量4个左右，车贩卖水果）影响周边居民正常生活，请核实处理。（信息保密）,3674.64592,-162.3213137,2015-7-8 12:43,2015-7-8 12:49,2015-7-8 12:49,2015-7-11 7:23,12319上报,东昌路近浦城路
46,1507H7042223,街面秩序,占道无证照经营,反映该处每天10:30--12:00，17:00--19:00有一个卖小吃摊位，影响市容和通行，请核实处理并回复。,0,0,2015-7-8 13:01,2015-7-8 13:11,2015-7-8 13:11,2015-7-9 13:29,12319上报,惠南镇拱为路靠近川南奉公路（万汇工地生活区旁边）
47,1507G6990762,环卫市容,跨门营业,信息保密，无需回复。反映该处每天中午及傍晚开始有跨门营业现象，喇叭放置在外，噪音扰民，请核实处理。信息保密，无需回复。,12544.16007,4289.629954,2015-7-5 17:49,2015-7-5 18:16,2015-7-5 18:16,2015-7-6 7:10,12319上报,凌河路618弄门口鲜虾馆
48,1507G6991400,环卫市容,跨门营业,反映该处每天18:00开始有跨门营业（烧菜），油烟味严重，影响周边居民生活，请核实处理并回复。,3727.952928,-3891.839973,2015-7-5 19:13,2015-7-5 19:20,2015-7-5 19:20,2015-7-8 8:49,12319上报,浦东南路2382号门口（山城饭店）
49,1507H7049070,街面秩序,占道无证照经营,反映该处每天09:00到21:00有10多个设摊，影响市容通行及周边居民生活。该问题已反映多时，但至今未见问题有所改善。7月8日投诉后得到职能部门答复称，该处是历史遗留问题，无法解决，对此不满，故望相关部门尽快核实处理并回复。,21606.3701,-4327.96007,2015-7-8 18:49,2015-7-8 19:08,2015-7-8 19:08,2015-7-14 11:01,12319上报,川沙路4889弄靠近（潮人商城门口）
50,1507H7049071,街面秩序,占道无证照经营,反映该处每天22:00~次日06:00有5~6个乱设摊（卖小吃），影响市容及居民出行，请核实处理并回复。（联系电话：13311688985）,4869.050753,-2381.395236,2015-7-8 18:49,2015-7-8 19:08,2015-7-8 19:08,2015-7-10 16:41,12319上报,南泉路近蓝村路
51,1507H7049302,街面秩序,占道无证照经营,反映该处每天18:00开始有乱设摊（整条马路均有），且还有跨门营业，影响通行，对此不满，请核实处理。（信息保密，不需回复）,16217.67825,4144.443586,2015-7-8 20:26,2015-7-8 20:42,2015-7-8 20:42,2015-7-10 17:15,12319上报,上川路陈邵路
52,1507H7048089,街面秩序,占道无证照经营,【信息保密，无需回复】反映该处每天16：00开始有乱设摊（大面积，食品）请核实处理。（信息保密）,14502.73156,-12314.78424,2015-7-8 16:25,2015-7-8 16:27,2015-7-8 16:27,2015-7-10 16:37,12319上报,叠桥路128号周边
53,1507H7041003,环卫市容,跨门营业,反映该处每天18:00开始有跨门营业（烧菜），油烟味严重，影响周边居民生活，请核实处理并回复。,3727.952928,-3891.839973,2015-7-8 11:01,2015-7-8 11:06,2015-7-8 11:06,2015-7-13 15:11,12319上报,浦东南路2382号门口（山城饭店）
54,1507G6980001,街面秩序,占道无证照经营,反映该处全天都有2个乱设摊（手抓饼和修自行车），请核实处理回复。,0,0,2015-7-4 12:14,2015-7-4 12:18,2015-7-4 12:18,2015-7-9 10:14,12319上报,海鸣路85号
55,1507G6935667,环卫市容,跨门营业,反映该处全天都有一家自行车维修店跨门营业，请核实处理。无需回复,0,0,2015-7-2 8:34,2015-7-2 8:43,2015-7-2 8:43,2015-7-6 10:10,12319上报,曹路镇海鸣路近顾曹路
56,1507H7049158,环卫市容,暴露垃圾,反映有人将阴沟垃圾倒在上述地址，影响市容，请核实处理并回复。,0,0,2015-7-8 19:19,2015-7-8 19:23,2015-7-8 19:23,2015-7-9 12:30,12319上报,16号线惠南站4号口北面
57,1507H7048633,环卫市容,跨门营业,【信息保密，无需回复】反映该处每天18:00开始有跨门营业现象（占用人行道，将桌椅、广告牌、炉子、冰箱、帐篷等放置在人行道上），油烟扰民，反映至今未改善，对此不满，请尽快核实处理（无需回复）,8104.85034,-3559.536933,2015-7-8 17:07,2015-7-8 17:31,2015-7-8 17:31,2015-7-14 10:28,12319上报,龙汇路近白杨路
58,1507H7049122,街面秩序,占道无证照经营,反映该处每天17:00---次日03:00有乱设摊（2个炒菜摊），影响周边居民，对此不满，请核实处理并回复。,4135.304,526.3109109,2015-7-8 19:07,2015-7-8 19:12,2015-7-8 19:12,2015-7-9 12:27,12319上报,南泉北路101弄10号
59,1507G6980326,街面秩序,占道无证照经营,反映该处整天有大面积设摊（2--3个摊位，卖菜、水果），请尽快核实处理并回复。,0,0,2015-7-4 13:02,2015-7-4 13:06,2015-7-4 13:06,2015-7-8 16:07,12319上报,浦东大道2507--2511弄
60,1507G6926313,街面秩序,占道无证照经营,反映该处每天都有乱设摊现象，影响市容，请核实处理。,2741.217183,-10193.60123,2015-7-1 14:53,2015-7-1 15:32,2015-7-1 15:32,2015-7-6 14:34,12319上报,灵岩南路（三林路--凌兆路）
61,1507H7050544,街面秩序,占道无证照经营,反映该处每天07:00---21:00有水果设摊现象，要求尽快处理，请核实处理并回复。,10257.15002,1365.890016,2015-7-9 7:43,2015-7-9 8:06,2015-7-9 8:06,2015-7-14 10:12,12319上报,银山路115弄44号附近通道口处
62,1507H7050621,街面秩序,占道无证照经营,反映该处每天07:30-09:00左右有大量乱设摊，影响居民生活，请核实处理并回复。,29167.64201,-20658.05023,2015-7-9 7:49,2015-7-9 8:15,2015-7-9 8:32,2015-7-13 10:39,12319上报,学海路303号
63,1507G6976527,环卫市容,跨门营业,反映该处店面每天晚上存在跨门营业现象，影响居民生活，请核实处理并回复。无需答复。,2864.278175,-8081.595913,2015-7-3 20:39,2015-7-3 20:47,2015-7-3 20:47,2015-7-9 9:12,12319上报,板泉路995号
64,1507G6976470,街面秩序,占道无证照经营,反映该处现有乱设摊现象（每天18：00--20:00开始持续至次日凌晨，烧烤摊，5--6个），油烟扰民，反映至今未有改善，城管走后设摊又会反复，要求城管部门设立长效管理机制，对此不满，请尽快核实处理（信息保密，无需回复）,0,0,2015-7-3 20:15,2015-7-3 20:18,2015-7-3 20:18,2015-7-4 8:53,12319上报,乳山路崂山四村51号附近
65,1507G6976489,街面秩序,占道无证照经营,反映07月03日15:00其太太在该处设摊，合庆城管到场未做任何劝阻告知，直接将物品没收，还将其太太关到派出所，对此不满，请核实处理并回复。,0,0,2015-7-3 20:21,2015-7-3 20:24,2015-7-3 20:24,2015-7-6 11:41,12319上报,三甲港水闸南面
66,1507G6976490,街面秩序,占道无证照经营,反映上述地址现有占道设摊现象（每天都有，风雨无阻），影响道路通行，反映之后无人解决，对此表示不满，要求立即到场整治，请速核实处理并回复。,15414.77041,8142.640166,2015-7-3 20:21,2015-7-3 20:25,2015-7-3 20:25,2015-7-8 13:11,12319上报,赵高公路1138号
67,1507G6976571,街面秩序,占道无证照经营,反映该处现在有1个乱设摊（烧烤），请核实处理。（信息保密）,11445.38689,-17636.21259,2015-7-3 20:57,2015-7-3 20:59,2015-7-3 20:59,2015-7-6 11:35,12319上报,航瑞路389弄门口
68,1507G6987029,街面秩序,占道无证照经营,反映该处每天09:00到21:00有10多个设摊，影响市容通行及周边居民生活。该问题已反映多时，但至今未见问题有所改善，反映人称川沙城管联系其称会处理此事，但情况未改善表示不满，故望相关部门尽快核实处理并回复。,21606.3701,-4327.96007,2015-7-5 10:25,2015-7-5 11:05,2015-7-5 11:05,2015-7-9 12:11,12319上报,川沙路4889弄靠近（潮人商城门口）
69,1507G6955378,街面秩序,占道无证照经营,反映该处现有10几个摊位，影响居民生活，请核实处理并回复。,21822.42289,-22562.67175,2015-7-2 22:44,2015-7-2 22:52,2015-7-2 22:52,2015-7-6 13:34,12319上报,宣桥镇宣镇东路靠近宣黄公路
70,1507G6947184,街面秩序,占道无证照经营,（信息保密，无需回复）反映该处现有乱设摊现象（一个摊位，卖水果），对此不满，请尽快核实处理 （信息保密，无需回复）,36474.38049,-40130.80865,2015-7-2 12:44,2015-7-2 12:58,2015-7-2 12:58,2015-7-3 15:10,12319上报,潮乐路（联华超市旁边）
71,1507G6955333,街面秩序,占道无证照经营,反映该处每天20:00--03:00有七八个无证夜排档，影响市容和通行，再次来电表示城管给其回电过称会去查看，但至今未诶看到有整改迹象，对此不满，请核实处理并回复。,21318.55253,-4033.761957,2015-7-2 22:32,2015-7-2 22:35,2015-7-2 22:35,2015-7-6 16:10,12319上报,川沙镇明川路靠近华夏二路
72,1507G6983291,街面秩序,占道无证照经营,反映该处现在有大量设摊，油烟味严重，反映人称设摊人员是新疆人，请核实处理并回复。,1974.987166,-6273.705127,2015-7-4 22:32,2015-7-4 23:10,2015-7-4 23:10,2015-7-8 14:30,12319上报,历城路124号靠近昌里路
73,1507G6983305,街面秩序,占道无证照经营,反映该处现有乱设摊现象（每天20:30---02:30，一个夜排档摊位），油烟扰民，对此不满，请尽快核实处理并回复。,6839.129475,-3403.593893,2015-7-4 22:38,2015-7-4 23:11,2015-7-4 23:11,2015-7-9 9:14,12319上报,锦安东路近169路终点站
74,1507H7004085,环卫市容,跨门营业,反映该处每天18:30--21:00左右有跨门营业卖烧烤现象，影响市容及居民出行，请处理并回复。,0,0,2015-7-6 10:49,2015-7-6 11:45,2015-7-6 11:45,2015-7-9 14:46,12319上报,成山路紫叶路路口
75,1507G6974358,街面秩序,占道无证照经营,反映该处每天07:00分左右--22:00分左右有大量乱设摊，影响市容，请核实处理并回复。,12570.69047,1146.561759,2015-7-3 15:51,2015-7-3 15:56,2015-7-3 15:56,2015-7-8 7:27,12319上报,金沪路川桥路
76,1507G6952803,环卫市容,跨门营业,（信息保密 无需回复）反映上述路段有饭店存在跨门营业现象（做烧烤 20:00-24:00），此影响市容和周边居民生活。故望相关部门尽快核实处理。,2942.227519,-7738.298153,2015-7-2 16:02,2015-7-2 16:12,2015-7-2 16:12,2015-7-6 10:04,12319上报,杨思路洪山路
77,1507G6951420,街面秩序,占道无证照经营,反映该处有无证洗车现象，对此不满，请核实处理并回复。,0,0,2015-7-2 15:20,2015-7-2 15:24,2015-7-2 15:24,2015-7-6 14:59,12319上报,2号线远东大道地铁站往东50米
78,1507G6983347,街面秩序,占道无证照经营,反映该处有大量乱设摊，严重扰民，对此表示不满，请速核实处理并回复。,21015.21605,-5082.422822,2015-7-4 22:56,2015-7-4 23:03,2015-7-4 23:03,2015-7-9 10:20,12319上报,南桥路妙境路
79,1507G6939199,街面秩序,占道无证照经营,反映该处每天08:00-13：00有2个乱设摊现象（卖活禽），请速核实处理并回复。,36084.5773,-41580.18289,2015-7-2 9:10,2015-7-2 9:16,2015-7-2 9:16,2015-7-3 15:52,12319上报,杭湾路水闸附近
80,1507G6985920,街面秩序,占道无证照经营,（信息保密，无需回复）反映该处每天21:00--23:00左右有乱设摊（烧烤）请核实处理。（信息保密，无需回复）,19990.99832,4947.915555,2015-7-5 9:01,2015-7-5 9:12,2015-7-5 9:12,2015-7-9 10:23,12319上报,海松路398弄
81,1507H7013243,街面秩序,占道无证照经营,反映该处每天10:30--12:00，17:00--19:00有一个卖小吃摊位，影响市容和通行，请核实处理并回复。,26596.53619,-19331.97786,2015-7-7 8:50,2015-7-7 9:00,2015-7-7 9:00,2015-7-8 15:46,12319上报,惠南镇拱为路靠近川南奉公路（万汇工地生活区旁边）
82,1507G6976556,街面秩序,占道无证照经营,反映该处现有乱设摊现象（每天18：00--20:00开始持续至次日凌晨，烧烤摊，5--6个），油烟扰民，反映至今未有改善，城管走后设摊又会反复，要求城管部门设立长效管理机制，对此不满，请尽快核实处理（信息保密，无需回复）,0,0,2015-7-3 20:51,2015-7-3 20:59,2015-7-3 20:59,2015-7-4 9:31,12319上报,乳山路崂山四村51号附近
83,1507G6982515,街面秩序,占道无证照经营,【无需回复】反映该处现有乱设摊现象（10个摊位， 卖烧烤、炒面等，每天17:30开始持续至次日天亮），影响周边居民生活，对此不满，请尽快核实处理（信息保密，无需回复）,2374.387615,-7890.047017,2015-7-4 18:20,2015-7-4 18:22,2015-7-4 18:22,2015-7-6 14:14,12319上报,杨思路振兴东路
84,1507G6982656,街面秩序,占道无证照经营,反映该处现在有设摊现象，河南牌照车尾号808在此设摊，请处理并回复。,0,0,2015-7-4 18:56,2015-7-4 19:05,2015-7-4 19:05,2015-7-9 7:12,12319上报,三岔港江心沙路桥头
85,1507G6983237,街面秩序,占道无证照经营,反映该处每天有大量乱设摊，影响居民生活，请核实处理并回复。,11819.35863,-3631.967909,2015-7-4 22:08,2015-7-4 22:17,2015-7-4 22:17,2015-7-8 15:18,12319上报,晨晖路828弄门口
86,1507G6983252,街面秩序,占道无证照经营,反映该处现有一个车行把桌椅放置人行道聚餐，影响周边居民，请尽快处理并答复。,13425.23278,6988.893925,2015-7-4 22:14,2015-7-4 22:19,2015-7-4 22:19,2015-7-8 7:18,12319上报,新行路万安街336号
87,1507G6973349,环卫市容,暴露垃圾,反映该处现有混合垃圾堆积，反映至今未果，影响居民生活，对此不满，请尽快核实处理并回复。,12049.11505,-24425.40204,2015-7-3 15:15,2015-7-3 15:23,2015-7-3 15:23,2015-7-9 10:20,12319上报,航头镇梅园沙北新村51号
88,1507H7017491,街面秩序,占道无证照经营,【信息保密，无需回复】反映该处有大量乱设摊现象（06:00--10:00有大量卖早点，17:30--21:00有两三个卖水果），影响市容和通行，望处理。（信息保密，不需回复）,36839.54111,-40293.00558,2015-7-7 9:38,2015-7-7 9:55,2015-7-7 9:55,2015-7-8 14:31,12319上报,港辉路靠近芦云路
89,1507G6978892,环卫市容,暴露垃圾,反映该处建筑垃圾堆积，对此不满，请核实处理并回复。,0,0,2015-7-4 9:44,2015-7-4 10:00,2015-7-4 10:00,2015-7-6 13:57,12319上报,芳华路990号
90,1507G6979525,街面秩序,占道无证照经营,【无需回复】反映上述地址每天07:00左右开始有大量乱设摊现象，请尽快核实处理。（信息保密）,0,0,2015-7-4 10:56,2015-7-4 10:58,2015-7-4 10:58,2015-7-7 10:14,12319上报,港辉路芦云路
91,1507H7029508,街面秩序,占道无证照经营,反映上述地址现有大量乱设摊现象，影响通行，请尽快核实处理并回复。,26891.39487,-20727.63135,2015-7-8 4:43,2015-7-8 7:08,2015-7-8 7:08,2015-7-9 9:21,12319上报,向阳路234号
