airlineCode	flightCourse	seatClass	price	flightType	goStartDate	goExpirationDate	goDepartureAirport	goArrivalAirport	goFlightNoInclude	goFlightNoExclude	goFlightCycle	priceLevel	smallestAdvancingDay	biggestAdvancingDay	earliestIssueTicketDate	latestIssueTicketDate	modifyTime	param1	Createdate
MU	HAK-PVG	Z	670	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ07WHDH	6	12	2016/5/19	2016/5/19	42:30.9	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	670	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ07WLDH	6	12	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	700	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ3MWLDL	89	365	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	700	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ2MWLDL	59	88	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	770	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ3MWHDL	89	365	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	770	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ2MWHDL	59	88	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-PVG	Z	840	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ3MWHDH	89	365	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	840	0	2016/5/19	2020/12/31	HAK	PVG			"3,4,5,7"	YZ2MWHDH	59	88	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	840	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ3MWLDH	89	365	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-PVG	Z	840	0	2016/5/19	2020/12/31	HAK	PVG			"1,2,6"	YZ2MWLDH	59	88	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	580	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ21WLDL	20	26	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	580	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ14WLDL	13	19	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	580	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ28WLDL	27	33	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	620	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ07WLDL	6	12	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	640	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ21WHDL	20	26	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	640	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ28WHDL	27	33	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	640	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ14WHDL	13	19	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	680	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ07WHDL	6	12	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ21WHDH	20	26	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ28WHDH	27	33	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ21WLDH	20	26	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ28WLDH	27	33	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ14WLDH	13	19	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	700	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ14WHDH	13	19	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	740	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ07WLDH	6	12	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	740	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ07WHDH	6	12	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	790	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ35WLDL	34	58	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	870	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ35WHDL	34	58	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	880	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ3MWLDL	89	365	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	930	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ2MWLDL	59	88	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	950	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ35WHDH	34	58	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	950	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ35WLDH	34	58	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	970	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ3MWHDL	89	365	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	1030	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ2MWHDL	59	88	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SHA	Z	1060	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ3MWHDH	89	365	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	1060	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ3MWLDH	89	365	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	1120	0	2016/5/19	2020/12/31	HAK	SHA			"1,2,6"	YZ2MWLDH	59	88	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SHA	Z	1120	0	2016/5/19	2020/12/31	HAK	SHA			"3,4,5,7"	YZ2MWHDH	59	88	2016/5/19	2016/5/19	42:31.0	"0831/1959,"	45:27.7
MU	HAK-SZX	Z	240	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ21WLDL	20	26	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	240	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ14WLDL	13	19	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	240	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ28WLDL	27	33	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	240	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ35WLDL	34	58	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	250	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ07WLDL	6	12	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	250	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ2MWLDL	59	88	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	250	0	2016/5/19	2020/12/31	HAK	SZX			"1,2,6"	YZ3MWLDL	89	365	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	260	0	2016/5/19	2020/12/31	HAK	SZX			"3,4,5,7"	YZ21WHDL	20	26	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	HAK-SZX	Z	260	0	2016/5/19	2020/12/31	HAK	SZX			"3,4,5,7"	YZ28WHDL	27	33	2016/5/19	2016/5/19	42:31.0	"2000/2359,0000/0830,"	45:27.7
MU	TYN-DLC	Z	290	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ21WHDL	20	26	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	300	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ28WLDL	27	33	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ07WHDH	6	12	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ14WHDH	13	19	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ21WHDH	20	26	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ21WLDH	20	26	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ14WLDH	13	19	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	310	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ07WLDH	6	12	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	320	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ35WHDL	34	58	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	330	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ28WHDL	27	33	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	340	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ3MWLDL	89	365	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	340	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ2MWLDL	59	88	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	350	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ35WLDH	34	58	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	350	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ35WHDH	34	58	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	360	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ28WLDH	27	33	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	360	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ28WHDH	27	33	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	370	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ2MWHDL	59	88	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	370	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ3MWHDL	89	365	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DLC	Z	400	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ2MWLDH	59	88	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	400	0	2016/5/12	2020/12/31	TYN	DLC			"1,2,6"	YZ3MWLDH	89	365	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	400	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ2MWHDH	59	88	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DLC	Z	400	0	2016/5/12	2020/12/31	TYN	DLC			"3,4,5,7"	YZ3MWHDH	89	365	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ14WLDL	13	19	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ21WLDL	20	26	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ07WLDL	6	12	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ35WLDL	34	58	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ21WHDL	20	26	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ07WHDL	6	12	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	150	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ14WHDL	13	19	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	160	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ28WLDL	27	33	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ07WHDH	6	12	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ35WHDL	34	58	2016/5/12	2016/5/12	21:55.5	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ14WHDH	13	19	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ21WHDH	20	26	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ07WLDH	6	12	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ14WLDH	13	19	2016/5/12	2016/5/12	21:55.5	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	170	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ21WLDH	20	26	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	180	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ28WHDL	27	33	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	190	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ35WLDH	34	58	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	190	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ28WLDH	27	33	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	190	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ28WHDH	27	33	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	190	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ35WHDH	34	58	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	190	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ3MWLDL	89	365	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	210	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ3MWHDL	89	365	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	210	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ2MWLDL	59	88	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	230	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ3MWLDH	89	365	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	230	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ2MWHDL	59	88	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-DSN	Z	230	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ3MWHDH	89	365	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	250	0	2016/5/12	2020/12/31	TYN	DSN			"1,2,6"	YZ2MWLDH	59	88	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-DSN	Z	250	0	2016/5/12	2020/12/31	TYN	DSN			"3,4,5,7"	YZ2MWHDH	59	88	2016/5/12	2016/5/12	21:55.6	"0831/1959,"	23:42.6
MU	TYN-FOC	Z	370	0	2016/5/12	2020/12/31	TYN	FOC			"1,2,6"	YZ14WLDL	13	19	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-FOC	Z	370	0	2016/5/12	2020/12/31	TYN	FOC			"1,2,6"	YZ21WLDL	20	26	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
MU	TYN-FOC	Z	370	0	2016/5/12	2020/12/31	TYN	FOC			"1,2,6"	YZ07WLDL	6	12	2016/5/12	2016/5/12	21:55.6	"2000/2359,0000/0830,"	23:42.6
