status	printstatus	flightPort	airlinecardno	segmentcount	segments	fare	airportfee	oilfee	flightdate	ticketnote	ticketDate	office	pnr	system	updateDate
USED/FLOWN		PVG/CJU   	HO	1	HO1375/PVG/CJU//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/5/22			bipiao	45:33.9
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/5/26			bipiao	55:18.8
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/5/26			bipiao	55:00.9
USED/FLOWN		PVG/CJU   	HO	1	HO1375/PVG/CJU//R/2016-06-07///USED/FLOWN	0	50	0	2016/6/7		2016/5/31			bipiao	53:24.6
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/2			bipiao	45:07.3
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/13			bipiao	34:58.9
USED/FLOWN		PVG/KIX   	HO	1	HO1339/PVG/KIX//Q/2016-06-16///USED/FLOWN	0	50	0	2016/6/16		2016/6/13			bipiao	39:54.6
USED/FLOWN		PVG/KIX   	HO	1	HO1339/PVG/KIX//R/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/16			bipiao	45:08.5
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-06-20///USED/FLOWN	0	50	0	2016/6/20		2016/6/16			bipiao	45:12.1
USED/FLOWN		MFM/PVG   	HO	1	HO1296/MFM/PVG//H/2016-05-15///USED/FLOWN	0	50	0	2016/5/15		2016/5/15	IMITED		bipiao	06:01.9
USED/FLOWN		MFM/PVG   	HO	1	HO1296/MFM/PVG//H/2016-05-15///USED/FLOWN	0	50	0	2016/5/15		2016/5/15	IMITED		bipiao	06:01.9
USED/FLOWN		MFM/PVG   	HO	1	HO1296/MFM/PVG//H/2016-05-15///USED/FLOWN	0	50	0	2016/5/15		2016/5/15	IMITED		bipiao	06:01.8
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-07-29///USED/FLOWN	0	50	0	2016/7/29		2016/6/8			bipiao	16:07.2
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-07-29///USED/FLOWN	0	50	0	2016/7/29		2016/6/8			bipiao	16:08.1
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//R/2016-06-20///USED/FLOWN	0	50	0	2016/6/20		2016/6/13			bipiao	50:51.5
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//R/2016-06-20///USED/FLOWN	0	50	0	2016/6/20		2016/6/13			bipiao	50:52.0
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//R/2016-06-20///USED/FLOWN	0	50	0	2016/6/20		2016/6/13			bipiao	50:53.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/15			bipiao	45:08.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/15			bipiao	45:06.6
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-06-19///USED/FLOWN	0	50	0	2016/6/19		2016/6/16			bipiao	45:08.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-06-17///USED/FLOWN	0	50	0	2016/6/17		2016/6/16			bipiao	45:16.4
USED/FLOWN		PVG/KIX   	HO	1	HO1335/PVG/KIX//Q/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/6/16			bipiao	09:41.7
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//W/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/6/16			bipiao	07:17.6
USED/FLOWN		PVG/KIX   	HO	1	HO1339/PVG/KIX//R/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/6/17			bipiao	16:08.2
USED/FLOWN		PVG/KIX   	HO	1	HO1339/PVG/KIX//R/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/6/17			bipiao	16:08.1
USED/FLOWN		PVG/KIX   	HO	1	HO1339/PVG/KIX//R/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/6/17			bipiao	07:29.7
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/6/21			bipiao	09:43.3
USED/FLOWN		PVG/KIX   	HO	1	HO1337/PVG/KIX//X/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/6/23			bipiao	10:03.4
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/6/27			bipiao	07:17.8
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/6/30	IMITED		bipiao	32:55.8
REFUNDED		PVG/HKG   	HO	1	HOREFUNDED/PVG/HKG//K/2016-07-24///REFUNDED	0	50	0	2016/7/24		2016/6/30			bipiao	07:30.0
REFUNDED		PVG/HKG   	HO	1	HOREFUNDED/PVG/HKG//K/2016-07-24///REFUNDED	0	50	0	2016/7/24		2016/6/30			bipiao	07:30.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/6/30			bipiao	09:49.4
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/6/30			bipiao	10:04.0
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-26///USED/FLOWN	0	50	0	2016/7/26		2016/7/1			bipiao	07:18.3
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-26///USED/FLOWN	0	50	0	2016/7/26		2016/7/1			bipiao	07:17.9
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-26///USED/FLOWN	0	50	0	2016/7/26		2016/7/1			bipiao	07:18.1
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-26///USED/FLOWN	0	50	0	2016/7/26		2016/7/1			bipiao	07:18.0
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	07:20.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	09:42.8
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	15:50.7
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	15:50.7
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	15:43.3
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	16:01.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/1			bipiao	15:50.7
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//K/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/7/2			bipiao	09:44.0
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//Q/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/2			bipiao	31:30.8
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//Q/2016-07-24///USED/FLOWN	0	50	0	2016/7/24		2016/7/2			bipiao	31:30.3
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//K/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/7/3			bipiao	05:03.7
USED/FLOWN		PVG/TPE   	HO	1	HO1309/PVG/TPE//X/2016-07-28///USED/FLOWN	0	50	0	2016/7/28		2016/7/3			bipiao	07:31.0
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//Q/2016-07-25///USED/FLOWN	0	50	0	2016/7/25		2016/7/5			bipiao	19:11.8
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/7/5			bipiao	10:05.2
USED/FLOWN		TPE/PVG   	HO	1	HO1310/TPE/PVG//K/2016-07-26///USED/FLOWN	0	50	0	2016/7/26		2016/7/5			bipiao	31:22.7
USED/FLOWN		KHH/PVG   	HO	1	HO1316/KHH/PVG//K/2016-07-27///USED/FLOWN	0	50	0	2016/7/27		2016/7/6			bipiao	31:25.6
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//Q/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/7/6			bipiao	04:56.8
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//Q/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/7/6			bipiao	04:56.9
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//W/2016-07-31///USED/FLOWN	0	50	0	2016/7/31		2016/7/6			bipiao	16:00.2
USED/FLOWN		KHH/PVG   	HO	1	HO1316/KHH/PVG//X/2016-06-12///USED/FLOWN	0	50	0	2016/6/12		2016/2/17			bipiao	16:08.6
REFUNDED		KHH/PVG   	HO	1	HO1316/KHH/PVG//X/2016-05-29///REFUNDED	0	50	0	2016/5/29		2016/2/29			bipiao	06:46.9
REFUNDED		HKG/PVG   	HO	1	HOREFUNDED/HKG/PVG//X/2016-05-04///REFUNDED	0	50	0	2016/5/4		2016/1/17	IMITED		bipiao	13:13.4
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//X/2016-06-11///USED/FLOWN	0	50	0	2016/6/11		2016/1/13			bipiao	12:58.1
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//X/2016-06-11///USED/FLOWN	0	50	0	2016/6/11		2016/1/13			bipiao	12:58.2
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//K/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/1/14			bipiao	42:13.2
USED/FLOWN		KIX/PVG   	HO	1	HO1340/KIX/PVG//K/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/1/14			bipiao	42:13.3
USED/FLOWN		CNX/PVG   	HO	1	HO1326/CNX/PVG//X/2016-06-10///USED/FLOWN	0	50	0	2016/6/10		2016/2/15	IMITED		bipiao	13:26.5
USED/FLOWN		CNX/PVG   	HO	1	HO1326/CNX/PVG//X/2016-06-10///USED/FLOWN	0	50	0	2016/6/10		2016/2/15	IMITED		bipiao	13:26.4
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//X/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/1/27			bipiao	13:24.2
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//X/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/1/27			bipiao	13:24.5
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//X/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/1/27			bipiao	12:46.2
USED/FLOWN		KBV/PVG   	HO	1	HO1330/KBV/PVG//X/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/2/17			bipiao	17:13.9
USED/FLOWN		PVG/OKA   	HO	1	HO1331/PVG/OKA//X/2016-05-25///USED/FLOWN	0	50	0	2016/5/25		2016/2/29			bipiao	06:16.5
USED/FLOWN		PVG/OKA   	HO	1	HO1331/PVG/OKA//X/2016-05-25///USED/FLOWN	0	50	0	2016/5/25		2016/2/29			bipiao	06:46.9
USED/FLOWN		PVG/KHH   	HO	1	HO1315/PVG/KHH//X/2016-06-01///USED/FLOWN	0	50	0	2016/6/1		2016/3/3	IMITED		bipiao	06:16.5
USED/FLOWN		PVG/KHH   	HO	1	HO1315/PVG/KHH//X/2016-06-01///USED/FLOWN	0	50	0	2016/6/1		2016/3/3	IMITED		bipiao	06:16.5
USED/FLOWN		PVG/KHH   	HO	1	HO1315/PVG/KHH//X/2016-06-01///USED/FLOWN	0	50	0	2016/6/1		2016/3/3	IMITED		bipiao	06:16.8
USED/FLOWN		CNX/PVG   	HO	1	HO1326/CNX/PVG//X/2016-05-30///USED/FLOWN	0	50	0	2016/5/30		2016/3/7			bipiao	05:48.0
USED/FLOWN		PVG/TPE   	HO	1	HO1309/PVG/TPE//X/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/3/11			bipiao	06:47.3
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-06-05///USED/FLOWN	0	50	0	2016/6/5		2016/3/23			bipiao	13:36.6
USED/FLOWN		KHH/PVG   	HO	1	HO1316/KHH/PVG//X/2016-06-05///USED/FLOWN	0	50	0	2016/6/5		2016/3/24			bipiao	13:36.8
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//Q/2016-07-29///USED/FLOWN	0	50	0	2016/7/29		2016/4/22			bipiao	23:29.1
USED/FLOWN		PVG/HKG   	HO	1	HO1305/PVG/HKG//Q/2016-07-29///USED/FLOWN	0	50	0	2016/7/29		2016/4/22			bipiao	16:00.9
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-05-21///USED/FLOWN	0	50	0	2016/5/21		2016/4/24			bipiao	12:14.5
USED/FLOWN		HKG/PVG   	HO	1	HO1306/HKG/PVG//K/2016-05-21///USED/FLOWN	0	50	0	2016/5/21		2016/4/24			bipiao	12:14.6
USED/FLOWN		CIH/PVG   	HO	1	HO1140/CIH/PVG//Q/2016-05-29///USED/FLOWN	420	50	0	2016/5/29		2016/4/8	SZX788		bipiao	02:19.7
USED/FLOWN		SHA/SYX   	HO	1	HO1127/SHA/SYX//P/2016-05-25///USED/FLOWN	1600	50	0	2016/5/25		2016/4/30	PEK549		bipiao	39:45.5
USED/FLOWN		SHA/SYX   	HO	1	HO1177/SHA/SYX//Q/2016-05-11///USED/FLOWN	0	50	0	2016/5/11		2016/3/11	SHA497		bipiao	18:18.5
USED/FLOWN		SHA/SYX   	HO	1	HO1129/SHA/SYX//Q/2016-05-01///USED/FLOWN	0	50	0	2016/5/1		2016/3/13	SHA497		bipiao	30:11.7
USED/FLOWN		PVG/ISG   	HO	1	HO1331/PVG/ISG//R/2016-06-03///USED/FLOWN	1000	50	0	2016/6/3		2016/2/28	SHA535		bipiao	21:11.2
USED/FLOWN		PVG/HND   	HO	1	HO1385/PVG/HND//X/2016-06-07///USED/FLOWN	0	50	0	2016/6/7		2016/3/23			bipiao	13:22.2
USED/FLOWN		PVG/CJU   	HO	1	HO1375/PVG/CJU//W/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/7			bipiao	11:54.4
USED/FLOWN		PVG/CJU   	HO	1	HO1375/PVG/CJU//W/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/7			bipiao	11:54.5
USED/FLOWN		HND/PVG   	HO	1	HO1386/HND/PVG//R/2016-06-13///USED/FLOWN	0	50	0	2016/6/13		2016/4/26			bipiao	48:08.4
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//K/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/28			bipiao	05:59.0
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//K/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/28			bipiao	05:59.0
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//K/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/28			bipiao	05:59.1
USED/FLOWN		NGO/PVG   	HO	1	HO1388/NGO/PVG//K/2016-05-20///USED/FLOWN	0	50	0	2016/5/20		2016/4/28			bipiao	05:58.9
REFUNDED		TPE/PVG   	HO	1	HOREFUNDED/TPE/PVG//S/2016-06-30///REFUNDED	0	50	0	2016/6/30		2016/3/7			bipiao	09:35.3
USED/FLOWN		PVG/NGO   	HO	1	HO1387/PVG/NGO//R/2016-06-12///USED/FLOWN	0	50	0	2016/6/12		2016/5/29			bipiao	36:30.1
USED/FLOWN		KIX/PVG   	HO	1	HO1336/KIX/PVG//Q/2016-06-16///USED/FLOWN	0	50	0	2016/6/16		2016/6/8			bipiao	50:50.8
USED/FLOWN		NKG/DLC   	HO	1	HO1657/NKG/DLC//A/2016-05-29///USED/FLOWN	700	50	0	2016/5/29		2016/5/26	XMN148		bipiao	01:41.0
USED/FLOWN		NKG/DLC   	HO	1	HO1657/NKG/DLC//A/2016-05-29///USED/FLOWN	700	50	0	2016/5/29		2016/5/26	XMN148		bipiao	01:41.0
USED/FLOWN		SZX/KWE   	HO	1	HO1205/SZX/KWE//Y/2016-05-27///USED/FLOWN	1000	50	0	2016/5/27		2016/5/26	SZX558		bipiao	03:26.5
USED/FLOWN		PVG/XMN   	HO	1	HO1105/PVG/XMN//Z/2016-06-06///USED/FLOWN	340	50	0	2016/6/6		2016/4/20			bipiao	18:56.3
USED/FLOWN		PVG/XMN   	HO	1	HO1105/PVG/XMN//Z/2016-06-06///USED/FLOWN	340	50	0	2016/6/6		2016/4/20			bipiao	18:56.2
USED/FLOWN		SHA/URC   	HO	1	HO1255/SHA/URC//R/2016-05-03///USED/FLOWN	0	50	0	2016/5/3		2016/5/1	SHA674		bipiao	00:05.2
USED/FLOWN		SHA/BAV   	HO	1	HO1057/SHA/BAV//A/2016-05-26///USED/FLOWN	1490	50	0	2016/5/26		2016/5/4	PEK088		bipiao	28:09.6
USED/FLOWN		URC/SHA   	HO	1	HO1256/URC/SHA//P/2016-05-09///USED/FLOWN	980	50	0	2016/5/9		2016/5/5			bipiao	25:12.5
USED/FLOWN		PVG/CKG   	HO	1	HO1249/PVG/CKG//Z/2016-05-07///USED/FLOWN	0	50	0	2016/5/7		2016/5/7			bipiao	59:39.8
REFUNDED		ZUH/SHA   	HO	1	HOOPEN/ZUH/SHA//Z/2016-05-07///REFUNDED	530	50	0	2016/5/7		2016/5/7			bipiao	44:36.1
USED/FLOWN		CAN/LJG   	HO	1	HO1078/CAN/LJG//Z/2016-05-11///USED/FLOWN	700	50	0	2016/5/11		2016/5/8			bipiao	15:58.6
USED/FLOWN		CAN/LJG   	HO	1	HO1078/CAN/LJG//Z/2016-05-11///USED/FLOWN	700	50	0	2016/5/11		2016/5/8			bipiao	15:58.6
REFUNDED		PVG/FOC   	HO	1	HOEFUNDED/PVG/FOC//P/2016-05-10///REFUNDED	80	0	0	2016/5/10		2016/5/10	CKG177		bipiao	50:19.6
USED/FLOWN		PVG/SHE   	HO	1	HO1285/PVG/SHE//P/2016-05-28///USED/FLOWN	420	50	0	2016/5/28		2016/5/10			bipiao	39:50.9
USED/FLOWN		SHA/SYX   	HO	1	HO1129/SHA/SYX//P/2016-05-29///USED/FLOWN	600	50	0	2016/5/29		2016/5/12			bipiao	03:58.1
USED/FLOWN		TAO/HAK   	HO	1	HO1067/TAO/HAK//P/2016-05-14///USED/FLOWN	690	50	0	2016/5/14		2016/5/13			bipiao	19:18.8
USED/FLOWN		NKG/TAO   	HO	1	HO1653/NKG/TAO//P/2016-05-15///USED/FLOWN	0	50	0	2016/5/15		2016/5/13			bipiao	00:03.3
USED/FLOWN		SHA/KMG   	HO	1	HO1093/SHA/KMG//P/2016-05-14///USED/FLOWN	0	50	0	2016/5/14		2016/5/13			bipiao	13:56.2
USED/FLOWN		URC/SHA   	HO	1	HO1256/URC/SHA//P/2016-05-16///USED/FLOWN	980	50	0	2016/5/16		2016/5/14			bipiao	24:11.1
USED/FLOWN		PVG/XNN   	HO	1	HO1069/PVG/XNN//E/2016-05-29///USED/FLOWN	1640	50	0	2016/5/29		2016/5/29	XMN148		bipiao	39:50.0
USED/FLOWN		PVG/CIH   	HO	1	HO1139/PVG/CIH//Q/2016-05-28///USED/FLOWN	420	50	0	2016/5/28		2016/4/17	SZX348		bipiao	02:00.9
USED/FLOWN		PVG/CIH   	HO	1	HO1139/PVG/CIH//Q/2016-05-28///USED/FLOWN	420	50	0	2016/5/28		2016/4/17	SZX348		bipiao	02:00.9
USED/FLOWN		PVG/CIH   	HO	1	HO1139/PVG/CIH//Q/2016-05-26///USED/FLOWN	420	50	0	2016/5/26		2016/4/18	SZX348		bipiao	01:29.4
USED/FLOWN		NKG/XIY   	HO	1	HO1685/NKG/XIY//P/2016-05-10///USED/FLOWN	350	50	0	2016/5/10		2016/5/9	BJS252		bipiao	16:01.4
USED/FLOWN		NKG/XIY   	HO	1	HO1685/NKG/XIY//P/2016-05-28///USED/FLOWN	350	50	0	2016/5/28		2016/5/25	BJS252		bipiao	39:50.9
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.6
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.6
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.6
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.6
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-05-27///USED/FLOWN	160	50	0	2016/5/27		2016/5/26	BJS252		bipiao	27:40.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-06-05///USED/FLOWN	120	50	0	2016/6/5		2016/5/30	BJS252		bipiao	19:16.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-06-03///USED/FLOWN	160	50	0	2016/6/3		2016/6/2	BJS252		bipiao	19:52.7
USED/FLOWN		PVG/FOC   	HO	1	HO1107/PVG/FOC//I/2016-06-03///USED/FLOWN	160	50	0	2016/6/3		2016/6/2	BJS252		bipiao	19:52.7
USED/FLOWN		NKG/KMG   	HO	1	HO1651/NKG/KMG//Z/2016-06-05///USED/FLOWN	760	50	0	2016/6/5		2016/6/5	BJS252		bipiao	26:00.5
USED/FLOWN		XIY/NKG   	HO	1	HO1686/XIY/NKG//P/2016-06-06///USED/FLOWN	350	50	0	2016/6/6		2016/6/6	BJS252		bipiao	15:10.5
USED/FLOWN		PVG/HLD   	HO	1	HO1237/PVG/HLD//Z/2016-05-13///USED/FLOWN	1800	50	0	2016/5/13		2016/4/20	SHA777		bipiao	14:25.8
USED/FLOWN		SHA/SYX   	HO	1	HO1129/SHA/SYX//Z/2016-05-22///USED/FLOWN	0	50	0	2016/5/22		2016/5/5	SZV122		bipiao	35:52.8
USED/FLOWN		SHA/SYX   	HO	1	HO1129/SHA/SYX//Y/2016-05-22///USED/FLOWN	0	50	0	2016/5/22		2016/5/5	SZV122		bipiao	35:53.3
USED/FLOWN		SHE/PVG   	HO	1	HO1357/SHE/PVG//K/2016-05-20///USED/FLOWN	770	50	0	2016/5/20		2016/5/19	SHA315		bipiao	01:29.8
USED/FLOWN		WUX/HAK   	HO	1	HO1067/WUX/HAK//Q/2016-05-11///USED/FLOWN	0	50	0	2016/5/11		2016/5/3	SZX348		bipiao	28:11.4
USED/FLOWN		LJG/HGH   	HO	1	HO1056/LJG/HGH//Q/2016-05-29///USED/FLOWN	0	50	0	2016/5/29		2016/4/29	SZX637		bipiao	02:21.1
USED/FLOWN		PVG/HLD   	HO	1	HO1237/PVG/HLD//R/2016-05-27///USED/FLOWN	1160	50	0	2016/5/27		2016/4/28	RLINES		bipiao	38:45.4
USED/FLOWN		CIH/PVG   	HO	1	HO1140/CIH/PVG//W/2016-05-27///USED/FLOWN	530	50	0	2016/5/27		2016/4/28	RLINES		bipiao	38:45.7
USED/FLOWN		SYX/SHA   	HO	1	HO1128/SYX/SHA//Q/2016-05-27///USED/FLOWN	0	50	0	2016/5/27		2016/5/1	SZX637		bipiao	38:46.6
USED/FLOWN		CAN/LJG   	HO	1	HO1078/CAN/LJG//Z/2016-05-27///USED/FLOWN	700	50	0	2016/5/27		2016/5/3	SZX637		bipiao	38:45.7
USED/FLOWN		CAN/LJG   	HO	1	HO1078/CAN/LJG//Z/2016-05-27///USED/FLOWN	700	50	0	2016/5/27		2016/5/3	SZX637		bipiao	38:45.7
