名称,类别,处罚类别,处罚时间,违规行为,来源
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/5/12,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/5/11,严重超载、未密闭,社会监督
上海悦垒市政工程有限公司(青浦),运输公司,诫勉谈话,2016/5/11,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/5/11,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/5/11,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2016/5/9,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/5/8,严重超载、未密闭,社会监督
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/5/8,严重超载、未密闭,社会监督
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/5/8,严重超载、未密闭,社会监督
上海路统实业有限公司(黄浦),运输公司,诫勉谈话,2016/5/8,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2016/5/8,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/5/7,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/7,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/5/7,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/5/7,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2016/5/7,严重超载、未密闭,社会监督
上海雅米鼎路基材料有限公司(金山),运输公司,诫勉谈话,2016/5/6,严重超载、未密闭,社会监督
中四冶（上海）建设有限公司,运输公司,诫勉谈话,2016/5/5,严重超载、未密闭,交警
上海耀文清洁服务有限公司,运输公司,诫勉谈话,2016/5/5,严重超载、未密闭,交警
上海城洁环保工程有限公司,运输公司,诫勉谈话,2016/5/5,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/5/5,严重超载、未密闭,社会监督
上海万吉机械施工工程有限公司(杨浦),运输公司,诫勉谈话,2016/5/4,严重超载、未密闭,社会监督
上海君明建筑土方基础工程有限公司(浦东),运输公司,诫勉谈话,2016/5/4,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2016/5/4,严重超载、未密闭,社会监督
上海八骏保洁服务有限公司,运输公司,诫勉谈话,2016/5/4,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/5/4,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/3,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/3,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/3,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/5/3,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2016/5/2,严重超载、未密闭,社会监督
上海雨良土石方工程有限公司(浦东),运输公司,诫勉谈话,2016/5/2,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/5/2,严重超载、未密闭,社会监督
上海虹荣机械施工有限公司,运输公司,诫勉谈话,2016/5/1,严重超载、未密闭,社会监督
上海奉宝基础工程有限公司,运输公司,诫勉谈话,2016/5/1,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2016/4/30,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2016/4/30,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/4/29,严重超载、未密闭,社会监督
上海杜韵基础工程有限公司,运输公司,诫勉谈话,2016/4/29,严重超载、未密闭,社会监督
上海浦赢市政工程有限公司,运输公司,诫勉谈话,2016/4/29,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/29,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/29,严重超载、未密闭,社会监督
上海浦赢市政工程有限公司,运输公司,诫勉谈话,2016/4/28,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/28,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/28,严重超载、未密闭,社会监督
上海磊津清洁服务有限公司,运输公司,诫勉谈话,2016/4/28,严重超载、未密闭,社会监督
上海市虹口区市容建设公司,运输公司,诫勉谈话,2016/4/27,严重超载、未密闭,社会监督
上海世滨土石方工程有限公司(普陀),运输公司,诫勉谈话,2016/4/27,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/4/26,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/4/25,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/4/25,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/25,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/4/25,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/4/25,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/22,严重超载、未密闭,交警
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/22,泄露、撒落,交警
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/22,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/22,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2016/4/22,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/22,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司,运输公司,诫勉谈话,2016/4/21,严重超载、未密闭,交警
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2016/4/21,严重超载、未密闭,社会监督
上海至真机械工程有限公司,运输公司,诫勉谈话,2016/4/21,严重超载、未密闭,社会监督
上海君明建筑土方基础工程有限公司,运输公司,诫勉谈话,2016/4/20,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/19,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/17,严重超载、未密闭,社会监督
上海儒林实业有限公司,运输公司,诫勉谈话,2016/4/17,严重超载、未密闭,社会监督
上海中泽建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海椽宝建筑工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海鑫海建筑机械有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海耀文清洁服务有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海鹏江建设工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海鑫环市政工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海荣广保洁服务有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海王现实业有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海亚堃机械设备有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海观谐建设工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海雨良土石方工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海天享实业发展有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海奉宝基础工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海想越土石方工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海绿建环卫清洁服务有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海徽鼎诚商市政工程有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海山华环卫保洁科技有限公司,运输公司,整改整顿,2016-04-15--2016-04-22,泄露、撒落,交警
上海凤环实业有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海海沈市政工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海勤顺建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海秉一建筑市政工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海杜韵基础工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海路升建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海戎西建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海鑫屹基础工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海春兵建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海超润建设发展有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海嘉麓建设工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海百径环境建设有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海悦垒市政工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/4/15,泄露、撒落,交警
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/15,严重超载、未密闭,社会监督
上海天享实业发展有限公司,运输公司,诫勉谈话,2016/4/15,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/15,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/4/14,交通死亡事故,交警
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,交警
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,交警
上海盛涛市建企业发展有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,交警
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,社会监督
上海百径环境建设有限公司(松江),运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/4/14,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/4/13,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2016/4/12,严重超载、未密闭,社会监督
上海海沈市政工程有限公司,运输公司,诫勉谈话,2016/4/11,严重超载、未密闭,社会监督
上海中泽建设工程有限公司,运输公司,诫勉谈话,2016/4/11,严重超载、未密闭,社会监督
上海雨良土石方工程有限公司(浦东),运输公司,诫勉谈话,2016/4/11,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/11,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/11,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/10,严重超载、未密闭,社会监督
上海中泽建设工程有限公司,运输公司,诫勉谈话,2016/4/10,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/9,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/4/8,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/4/8,严重超载、未密闭,社会监督
上海天享实业发展有限公司,运输公司,诫勉谈话,2016/4/7,严重超载、未密闭,社会监督
上海天享实业发展有限公司,运输公司,诫勉谈话,2016/4/7,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/7,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/4/6,无证运输,城管
上海君旭运输发展有限公司,运输公司,诫勉谈话,2016/4/6,无证运输,城管
上海儒林实业有限公司(普陀),运输公司,诫勉谈话,2016/4/5,严重超载、未密闭,社会监督
上海明德建筑机械工程有限公司(浦东),运输公司,诫勉谈话,2016/4/5,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/4/5,严重超载、未密闭,社会监督
上海展福建筑工程有限公司,运输公司,诫勉谈话,2016/4/4,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司,运输公司,诫勉谈话,2016/4/2,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/2,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/4/2,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/4/1,严重超载、未密闭,社会监督
上海凯大建设工程有限公司,运输公司,诫勉谈话,2016/4/1,严重超载、未密闭,社会监督
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/4/1,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2016/4/1,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/4/1,严重超载、未密闭,社会监督
上海豪运清洁服务有限公司,运输公司,诫勉谈话,2016/3/31,严重超载、未密闭,社会监督
上海荣广保洁服务有限公司,运输公司,诫勉谈话,2016/3/31,严重超载、未密闭,社会监督
上海虹荣机械施工有限公司,运输公司,诫勉谈话,2016/3/31,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2016/3/31,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/31,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/3/30,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2016/3/30,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/30,严重超载、未密闭,社会监督
上海椽宝建筑工程有限公司,运输公司,诫勉谈话,2016/3/29,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/29,严重超载、未密闭,社会监督
上海亚堃机械设备有限公司,运输公司,诫勉谈话,2016/3/29,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/29,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2016/3/29,严重超载、未密闭,社会监督
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2016/3/28,严重超载、未密闭,交警
上海弘进建设工程有限公司,运输公司,整改整顿,2016-03-28--2016-04-27,严重超载、未密闭,交警
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/28,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/28,严重超载、未密闭,社会监督
上海海波环境卫生服务有限公司,运输公司,诫勉谈话,2016/3/28,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/27,严重超载、未密闭,社会监督
上海大鹏环卫保洁有限公司(徐汇),运输公司,诫勉谈话,2016/3/26,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/26,严重超载、未密闭,社会监督
上海豪运清洁服务有限公司,运输公司,诫勉谈话,2016/3/26,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/3/26,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/26,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2016/3/25,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2016/3/25,严重超载、未密闭,社会监督
上海春然环卫处置运输有限公司(金山),运输公司,诫勉谈话,2016/3/24,严重超载、未密闭,社会监督
上海海策建设有限公司,运输公司,诫勉谈话,2016/3/24,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/3/23,严重超载、未密闭,社会监督
上海绿建环卫清洁服务有限公司,运输公司,诫勉谈话,2016/3/23,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海鼎诚绿化养护有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海明德建筑机械工程有限公司,运输公司,整改整顿,2016-03-22--2016-03-29,泄露、撒落,交警
上海正乾环卫服务有限公司,运输公司,整改整顿,2016-03-22--2016-03-29,泄露、撒落,交警
上海裕皖实业发展有限公司,运输公司,整改整顿,2016-03-22--2016-03-29,泄露、撒落,交警
上海雨良土石方工程有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海徽鼎诚商市政工程有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海春然环卫处置运输有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海万连环卫清洁有限公司,运输公司,诫勉谈话,2016/3/22,泄露、撒落,交警
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2016/3/22,严重超载、未密闭,交警
上海海波环境卫生服务有限公司,运输公司,整改整顿,2016-03-22--2016-04-21,严重超载、未密闭,交警
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/21,严重超载、未密闭,社会监督
上海弘进建设工程有限公司,运输公司,诫勉谈话,2016/3/21,严重超载、未密闭,社会监督
上海浦赢市政工程有限公司,运输公司,诫勉谈话,2016/3/21,严重超载、未密闭,社会监督
上海虹荣机械施工有限公司,运输公司,诫勉谈话,2016/3/20,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/3/19,严重超载、未密闭,社会监督
上海海波环境卫生服务有限公司,运输公司,诫勉谈话,2016/3/19,严重超载、未密闭,社会监督
上海同梅清洁服务有限公司,运输公司,诫勉谈话,2016/3/18,严重超载、未密闭,社会监督
上海明德建筑机械工程有限公司(浦东),运输公司,诫勉谈话,2016/3/18,严重超载、未密闭,社会监督
上海春然环卫处置运输有限公司(金山),运输公司,诫勉谈话,2016/3/17,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2016/3/17,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2016/3/16,严重超载、未密闭,社会监督
上海观谐建设工程有限公司,运输公司,诫勉谈话,2016/3/16,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2016/3/15,严重超载、未密闭,社会监督
上海帅金建筑工程有限公司(青浦),运输公司,诫勉谈话,2016/3/15,严重超载、未密闭,社会监督
上海儒林实业有限公司,运输公司,诫勉谈话,2016/3/15,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2016/3/15,严重超载、未密闭,社会监督
上海昊畅市政工程有限公司,运输公司,诫勉谈话,2016/3/14,无证运输,城管
上海辉腾基础工程有限公司,运输公司,诫勉谈话,2016/3/14,无证运输,城管
上海弘进建设工程有限公司,运输公司,诫勉谈话,2016/3/14,严重超载、未密闭,交警
上海勤顺建设工程有限公司,运输公司,整改整顿,2016-03-14--2016-04-13,严重超载、未密闭,交警
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2016/3/11,严重超载、未密闭,社会监督
上海中泽建设工程有限公司,运输公司,诫勉谈话,2016/3/11,严重超载、未密闭,社会监督
上海徽环实业有限公司,运输公司,诫勉谈话,2016/3/7,严重超载、未密闭,交警
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2016/3/5,严重超载、未密闭,社会监督
上海正乾环卫服务有限公司(长宁),运输公司,诫勉谈话,2016/3/5,严重超载、未密闭,社会监督
上海儒林实业有限公司(普陀),运输公司,诫勉谈话,2016/3/5,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/5,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2016/3/5,严重超载、未密闭,社会监督
上海安远基础工程土方运输有限公司,运输公司,诫勉谈话,2016/3/3,严重超载、未密闭,社会监督
上海秉一建筑市政工程有限公司(金山),运输公司,诫勉谈话,2016/3/2,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/3/2,严重超载、未密闭,社会监督
上海荣广保洁服务有限公司,运输公司,诫勉谈话,2016/3/1,严重超载、未密闭,社会监督
上海天享实业发展有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海虹宝环卫处置运输有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海亚堃机械设备有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海展福建筑工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海奉宝基础工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海想越土石方工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海正乾环卫服务有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海鹏江建设工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海耀文清洁服务有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海昊郁实业有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海王现实业有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海安远基础工程土方运输有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海明德建筑机械工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海鑫海建筑机械有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海裕皖实业发展有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海君明建筑土方基础工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海椽宝建筑工程有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海绿建环卫清洁服务有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海山华环卫保洁科技有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海志盛楼宇工程设备有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海庆龙机械施工有限公司,运输公司,诫勉谈话,2016/2/29,泄露、撒落,交警
上海俊旭运输有限公司,运输公司,诫勉谈话,2016/2/29,严重超载、未密闭,社会监督
上海福洋建筑工程有限公司,运输公司,诫勉谈话,2016/2/27,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2016/2/27,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/2/27,严重超载、未密闭,社会监督
上海立及废弃物处置服务有限公司(宝山),运输公司,诫勉谈话,2016/2/26,严重超载、未密闭,社会监督
上海万连环卫清洁有限公司,运输公司,诫勉谈话,2016/2/25,严重超载、未密闭,社会监督
上海盛拓市政建筑有限公司,运输公司,诫勉谈话,2016/2/23,无证运输,城管
上海国越建设工程有限公司,运输公司,整改整顿,2016-02-23--2016-03-24,无证运输,城管
上海戎西建设工程有限公司,运输公司,诫勉谈话,2016/2/23,无证运输,城管
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2016/2/23,无证运输,城管
上海进运实业有限公司,运输公司,诫勉谈话,2016/2/21,严重超载、未密闭,社会监督
上海春然环卫处置运输有限公司(金山),运输公司,诫勉谈话,2016/2/20,严重超载、未密闭,社会监督
上海椽宝建筑工程有限公司,运输公司,诫勉谈话,2016/2/20,严重超载、未密闭,社会监督
上海昊郁实业有限公司,运输公司,诫勉谈话,2016/2/14,无证运输,城管
上海君旭运输发展有限公司,运输公司,诫勉谈话,2016/2/2,无证运输,城管
上海国越建设工程有限公司,运输公司,诫勉谈话,2016/2/2,无证运输,城管
上海惠宾汽车运输有限公司,运输公司,诫勉谈话,2016/2/2,无证运输,城管
上海海波环境卫生服务有限公司,运输公司,诫勉谈话,2016/2/1,严重超载、未密闭,交警
上海戎西建设工程有限公司,运输公司,诫勉谈话,2016/2/1,严重超载、未密闭,交警
上海勤顺建设工程有限公司,运输公司,诫勉谈话,2016/2/1,严重超载、未密闭,交警
上海百径环境建设有限公司,运输公司,诫勉谈话,2016/2/1,严重超载、未密闭,交警
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2016/1/21,严重超载、未密闭,社会监督
上海传宏基础工程有限公司,运输公司,诫勉谈话,2016/1/19,严重超载、未密闭,社会监督
上海万吉机械施工工程有限公司(杨浦),运输公司,诫勉谈话,2016/1/18,严重超载、未密闭,社会监督
上海裕皖实业发展有限公司(浦东),运输公司,诫勉谈话,2016/1/18,严重超载、未密闭,社会监督
