区域,名称,地址,经营单位,受纳种类,回填总量/吨,剩余量/吨,有效期
松江,绿化用土（车墩区域内松卫公路两侧、北松公路两侧）-11701,车墩区域内松卫公路两侧、北松公路两侧,上海华阳园林工程有限公司,工程渣土&nbsp;,420000,320000,2015-08-13-2016-07-20
松江,基础回填（永丰街道C17-17-04号）-13129,永丰街道南站大型居住社区C17-17-04号动迁,上海大运置业有限公司,工程渣土&nbsp;,180000,140000,2015-11-27-2016-11-20
松江,基础回填（佘北大居50A-01A地块）-14332,佘山北大型居住社区50A-01A地块,上海华伦房地产开发有限公司,工程渣土&nbsp;,85650,85650,2016-03-03-2016-09-01
松江,基础回填（泗泾SJSB0003单元07-01号住宅项目）-13009,泗泾镇SJSB0003单元07-01号,上海云利置业有限公司,工程渣土&nbsp;,100000,80000,2015-11-24-2016-12-31
松江,低洼平整（佘山镇21街坊7P丘延期）-14751,佘山镇21街坊7P丘（泗陈公路、陶干路交界口东南角,上海紫都佘山房地产有限公司,工程渣土&nbsp;,136920,76820,2016-04-18-2017-04-12
松江,基础回填（佘北大居47A-03A地块）-14331,佘山北大型居住社区47A-03A地块,上海华伦房地产开发有限公司,工程渣土&nbsp;,76212,76212,2016-03-03-2016-09-01
松江,基础回填（上海坤辉置业）-14495,洞泾镇莘砖公路南，新农河路东侧,上海坤辉置业有限公司,工程渣土&nbsp;,80000,75000,2016-03-23-2017-03-30
松江,基础回填（佘山集镇D-27、D-33地块）-14030,西至千新路，北至九江路，南至规划路、东至自然河道,上海绿地松煜置业有限公司,工程渣土&nbsp;,120000,74000,2016-01-18-2016-12-30
松江,低洼平整（永航路以东，塔闵路以北）-14111,永丰街道永航路以东，闵塔路以北,上海仓城农业发展有限公司,工程渣土&nbsp;,70000,70000,2016-01-31-2016-06-25
松江,基础回填（广年SJC10004单元2街区08-02地块）-14696,SJC10004单元2街区08-02地块,广年(上海）投资有限公司,工程渣土&nbsp;,100000,66000,2016-04-12-2017-02-10
松江,低洼平整（新中村复垦）-11644,石湖荡镇新中村G1501西边至斜塘江边,上海市松江区石湖荡镇新中村民委员会,工程渣土&nbsp;,160000,50000,2015-07-24-2016-07-13
松江,基础回填（佘北大居53A-01A地块）-14333,佘山北大型居住社区53A-01A地块,上海华伦房地产开发有限公司,工程渣土&nbsp;,99520,49520,2016-03-03-2016-09-01
松江,基础回填（云间商业广场）-14372,中山东路南侧、云间路两侧、松汇东路北侧,上海茸发置业有限公司,工程渣土&nbsp;,70000,48600,2016-03-08-2017-03-30
松江,绿化用土（申嘉湖高速车亭至汇北）延期-14553,申嘉湖高速公路车亭公路与汇北公路,上海申嘉湖高速公路养护管理有限公司,工程渣土&nbsp;,48000,48000,2016-03-25-2016-12-30
松江,基础回填（中山街道C单元C22-04地块）-13269,中山街道广富林路南侧绿化带以南、光星路西侧、公园北,上海松江新城生态商务开发建设有限公司,工程渣土&nbsp;,30000,30000,2015-12-10-2016-08-10
松江,低洼平整（新姚村沪杭高速北侧）-11645,石湖荡镇新姚村沪杭高速北侧,上海市松江区石湖荡新姚村民委员会,工程渣土&nbsp;,52000,27000,2015-07-24-2016-07-13
松江,低洼平整（小昆山镇永昆公路北侧农田复垦）-14455,小昆山镇永昆公路北侧，A30西侧,上海市松江区小昆山镇人民政府,工程渣土&nbsp;,100000,22000,2016-03-16-2016-12-30
松江,基础回填（昆冈公路4501号）-13189,佘山镇昆冈公路4501号,上海鸣延实业有限公司,工程渣土&nbsp;,150000,21000,2015-12-04-2016-12-30
松江,低洼平整（工业区101街坊119/3丘）延期-14471,工业区101街坊119/3丘,上海回天新材料有限公司,工程渣土&nbsp;,20000,20000,2016-03-17-2016-06-17
松江,绿化用土（凤古路两侧）-14532,凤古路以北100米东、西两侧,上海市松江区佘山镇人民政府,工程渣土&nbsp;,18000,18000,2016-03-23-2016-10-30
松江,低洼平整（佘山北大居区域内）-14029,佘山北大居区域内,上海松江方松建设投资有限公司,工程渣土&nbsp;,800000,11124,2016-01-15-2016-12-30
松江,低洼平整（三得利青岛啤酒）-13909,工业区锦昔路1号,三得利青岛啤酒（上海）有限公司,工程渣土&nbsp;,10000,10000,2016-01-11-2016-06-15
松江,低洼平整（石泖路东侧藕塘）-11531,石湖荡泖新村石泖路东侧,上海市松江区石湖荡镇农业服务中心,工程渣土&nbsp;,72000,7000,2015-05-28-2016-06-30
松江,基础回填（2016装修工程内部回填）-13409,内部回填,-,工程渣土&nbsp;,1000,1000,2015-12-21-2016-12-31
嘉定,京沪高铁（嘉定段）绿色廊道绿化土回填工程-14272,江桥镇爱特路至宝园二路京沪高铁和沪宁城际中间,上海惠宾汽车运输有限公司,工程渣土&nbsp;,1000000,238000,2016-02-25-2017-06-30
嘉定,华亭镇华亭村鱼塘复耕-13871,徐星路（宝钱公路北500米）,华亭镇华亭村村民委员会,工程渣土&nbsp;,800000,60988,2016-01-01-2016-12-31
嘉定,菊园新区土地复耕-12829,菊园新区昌桥10队,菊园新区土地管理所,工程渣土&nbsp;,527200,1,2015-11-12-2017-12-31
奉贤,南空工程建设局奉贤训练场-11624,南空工程建设局奉贤训练场,南空工程建设局奉贤训练场,建筑垃圾&nbsp;工程渣土&nbsp;,1200000,526800,2015-07-15-2020-07-15
奉贤,海棠路拓宽-11424,海棠路,海湾旅游区规划环境中心,工程渣土&nbsp;,400000,360000,2015-04-29-2020-04-30
奉贤,柘林镇营房村海思路南卸点-14412,柘林营房村南海路海思路卸点,营房村村委,工程渣土&nbsp;泥浆,600000,339250,2016-03-11-2016-11-30
奉贤,航南路沙港河-10618,航南路以北、沙港河以东、奉浦大道以南,上海胡杨园林景观设计工程有限公司,工程渣土&nbsp;,400000,317800,2014-10-15-2016-12-31
奉贤,庄行存古村姚泾2、3组回填-14894,庄行存古村姚泾2、3组回填,存古村委,工程渣土&nbsp;,400000,300000,2016-05-04-2016-12-31
奉贤,海浪路世纪林填土-11428,海浪路世纪林,海湾旅游区规划环境中心,工程渣土&nbsp;,200000,190000,2015-04-30-2020-04-30
奉贤,金汇镇金汇村三四组复耕-11224,金汇村三四组,金汇村村委会,工程渣土&nbsp;,200000,188000,2015-03-09-2018-04-30
奉贤,金汇镇白沙村低洼地回填-12890,金汇镇白沙村低洼地回填,金汇镇白沙村,工程渣土&nbsp;,200000,180000,2015-11-16-2017-11-30
奉贤,柘林镇夹路村海航路东侧-11772,柘林镇夹路村海航路东侧,夹路村村委会,工程渣土&nbsp;,300000,179400,2015-09-02-2018-09-30
奉贤,宜家物流中心低洼地-10768,海杰路以南、港文路以西,宜家分拨有限公司,工程渣土&nbsp;,200000,160000,2014-11-13-2016-12-31
奉贤,海湾镇海兴路南侧、海农路东侧-13629,海湾镇海兴路南侧、海农路东侧,上海晨希实业有限公司,工程渣土&nbsp;,200000,140000,2015-12-29-2017-12-31
奉贤,海湾区域金汇港青村段回填-14551,海湾区域金汇港青村段区域,青村镇政府,工程渣土&nbsp;,300000,133000,2016-03-24-2016-12-30
奉贤,灯塔村-10727,兴中路、西闸公路南侧,南桥镇灯塔村村民委员会,工程渣土&nbsp;,200000,120000,2014-11-04-2016-12-31
奉贤,奉城镇工业园区上海泰昌健康科技股份有限公司受让地块-14311,奉城镇工业园区内神州路西侧,上海雅米鼎路基材料有限公司,工程渣土&nbsp;,120000,117000,2016-03-01-2016-12-31
奉贤,塘外村三角洋6组、9组-11721,塘外村三角洋6组、9组,塘外村村委会,工程渣土&nbsp;,200000,110000,2015-08-18-2020-08-31
奉贤,金大路、浦星公路-11182,金大路、浦星公路,新发展集团有限公司,工程渣土&nbsp;,200000,110000,2015-02-28-2017-12-31
奉贤,漕河泾“先租后售”项目回填-13069,漕河泾“先租后售”项目回填,上海临港奉贤公共租赁住房运营有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,100000,100000,2015-11-24-2018-11-30
奉贤,庄行镇杨溇村14组-11774,庄行镇杨溇村14组,杨溇村村委会,建筑垃圾&nbsp;工程渣土&nbsp;,100000,100000,2015-09-02-2019-01-31
奉贤,青村镇帝豪酒店回填-12429,青村镇帝豪酒店回填,青村镇帝豪酒店,工程渣土&nbsp;,100000,99700,2015-10-16-2020-10-31
奉贤,金钱路卸点3-13689,金钱路,上海镭定土方工程有限公司,工程渣土&nbsp;,100000,97880,2015-12-30-2018-12-31
奉贤,上院佳庭回填-11766,上院佳庭回填,上海顺寓置业有限公司,工程渣土&nbsp;,100000,94000,2015-09-01-2019-09-30
奉贤,奉城镇胜利村三组-11226,奉城镇胜利村,胜利村村委会,工程渣土&nbsp;,100000,90000,2015-03-09-2018-04-30
奉贤,奉浦大道钜庭路绿化回土-14833,奉浦大道、钜庭路,经济园区,工程渣土&nbsp;,200000,90000,2016-04-25-2016-12-31
奉贤,轨交5号南延伸段4标工程回填-13229,轨交5号线南延伸段4标段（航南公路、环城东路）,轨交5号线管理公司,工程渣土&nbsp;,100000,90000,2015-12-08-2017-01-08
奉贤,浦星公路东侧、金大路南白沙村低洼地-12969,浦星公路东侧、金大路南白沙村低洼地,白沙村村委会,工程渣土&nbsp;,100000,90000,2015-11-19-2017-12-28
奉贤,庄行镇渔沥村-10749,庄行镇渔沥村耀光,庄行镇渔沥村村委会,工程渣土&nbsp;泥浆,100000,86200,2014-11-10-2016-12-31
奉贤,公安751基地-11037,浦星公路、人民塘路,公安751基地,工程渣土&nbsp;,400000,81000,2015-01-12-2017-02-28
奉贤,发展村回填-11646,发展村回填,南桥镇发展村村委会,工程渣土&nbsp;,100000,80000,2015-07-27-2020-07-31
奉贤,庄行镇汇安村3组-11441,汇安村3村,汇安村村委会,工程渣土&nbsp;,100000,80000,2015-05-04-2019-05-31
奉贤,星火绿地回填-14313,海农路海兴路路口,盛拓,工程渣土&nbsp;,100000,80000,2016-03-01-2016-12-30
奉贤,武警上海总队农副产基地-10617,海振路135号,武警上海总队,工程渣土&nbsp;,100000,80000,2014-10-15-2016-12-31
奉贤,花角村回填-11532,花角村,花角村村委会,工程渣土&nbsp;,100000,78000,2015-05-29-2018-05-31
奉贤,汤臣回填-11652,汤臣回填,中天建设集团有限公司,工程渣土&nbsp;,80000,70000,2015-07-30-2018-01-31
奉贤,汇丰西路、汇丰北路向西低洼地回填2-14231,农业园区汇丰西路、汇丰北路向西,海禹,工程渣土&nbsp;,100000,70000,2016-02-23-2016-06-30
奉贤,宝龙城市广场土方回填-10851,环城东路、陈桥路,贤通置业有限公司,工程渣土&nbsp;,100000,68000,2014-11-27-2016-12-31
奉贤,金海村翁家461号-11790,金海村翁家461号,上海宏林水产养殖专业合作社,工程渣土&nbsp;,200000,68000,2015-09-07-2019-09-30
奉贤,陈桥村航塘路东西两侧回填-13411,陈桥村航塘路东西两侧回填,奉城镇陈桥村村委会,工程渣土&nbsp;,100000,65000,2015-12-21-2018-11-30
奉贤,柘林F8安置基地03-01地块回填-14228,东至贝港、西至新粮路、南至新塘路、北至柴港路,建林置业,工程渣土&nbsp;,100000,65000,2016-02-22-2016-12-31
奉贤,新四平公路西南侧中港河水闸两侧绿化土-12049,新四平公路西南侧中港河水闸,奉贤区海塘管理所,工程渣土&nbsp;,100000,60000,2015-09-24-2018-09-30
奉贤,青村镇张弄村公租房工程-11062,金钱公路,青村镇张弄村村委会,工程渣土&nbsp;,100000,60000,2015-01-20-2017-01-31
奉贤,奉城绿地土方回填-11720,奉城绿地回填,上海绿地奉城置业有限公司,工程渣土&nbsp;,100000,60000,2015-08-17-2017-08-31
奉贤,金海社区丁家村临时堆点-14772,高丰路、嘉园路,丁家村,工程渣土&nbsp;,100000,60000,2016-04-20-2017-03-01
奉贤,上海之鱼土方回填-11122,航南公路、金海公路,上海绿地奉翔置业有限公司,工程渣土&nbsp;,200000,56000,2015-01-27-2017-01-31
奉贤,扶兰苑小区回填-13529,扶兰苑小区回填,上海悦升置业有限公司,工程渣土&nbsp;,100000,55400,2015-12-25-2017-12-31
奉贤,青村镇青工路南侧-11425,青工路,青村镇规划环境中心,工程渣土&nbsp;,160000,55000,2015-04-29-2019-04-30
奉贤,浦卫公路、西纬四路（鲜绿真空保鲜）回填-13429,浦卫公路、西纬四路（鲜绿真空保鲜）回填,马路村村委会,工程渣土&nbsp;,100000,52000,2015-12-21-2017-12-31
奉贤,青宁路青村朱店牧场二分场-14915,青宁路青村朱店牧场二分场,朱店牧场,工程渣土&nbsp;,100000,50000,2016-05-09-2017-12-30
奉贤,金汇镇白沙村-14773,金汇镇浦星公东、红星港南白沙村,白沙村,工程渣土&nbsp;,100000,50000,2016-04-20-2016-12-30
奉贤,奉贤金汇镇周家村鱼塘回填-11829,金汇镇周家村大叶公路两侧,上海世毅实业有限公司,工程渣土&nbsp;,60000,50000,2015-09-09-2016-09-09
奉贤,柘林楚华支路699号绿化回土-14875,柘林楚华支路699号恒业分子筛绿化回土,恒业分子筛,工程渣土&nbsp;,50000,50000,2016-04-29-2016-12-30
奉贤,华怡企业施工回填-11331,奉贤区环城东路侧、狄家港北侧,上海华怡企业有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,50000,49000,2015-04-09-2018-04-30
奉贤,普华永利厂房回填-13169,普华永利厂房回填,普华永利厂房,工程渣土&nbsp;,50000,48400,2015-11-27-2017-04-27
奉贤,金汇镇金汇村三组、四组虾塘复耕-11121,金汇镇金汇村三组、四组虾塘复耕,上海世毅实业有限公司,工程渣土&nbsp;,100000,47000,2015-01-26-2016-07-31
奉贤,金辉天鹅湾回填-11420,高洲路、运河北路,上海融辉房地产开发有限公司,工程渣土&nbsp;,50000,46000,2015-04-28-2018-04-28
奉贤,柘林镇三桥村永新6组回填-14271,柘林镇永新路、观工路北侧,永新村三桥村村委,工程渣土&nbsp;,60000,45000,2016-02-25-2016-12-30
奉贤,南桥镇北新村六组、十六组两处鱼塘回填平整-12149,南桥镇北新村六组、十六组两处鱼塘,上海世毅实业有限公司,工程渣土&nbsp;,180000,45000,2015-09-29-2016-09-29
奉贤,青村镇光明湾张村二处鱼塘回填-11653,浦星公路东侧和南奉公路北侧,上海世毅实业有限公司,工程渣土&nbsp;,50000,45000,2015-07-31-2016-07-31
奉贤,中铁十七局回填-14351,中铁十七局金海路南港路新城站,中铁十七局,工程渣土&nbsp;,60000,42000,2016-03-04-2017-01-31
奉贤,康美药业厂房回填-12809,康美药业厂房回填,上海康美药业有限公司,工程渣土&nbsp;,50000,40000,2015-11-11-2017-02-28
奉贤,苏宁回填-11369,解放东路南侧、望园路东侧,上海奉贤建设发展集团有限公司,工程渣土&nbsp;,100000,40000,2015-04-15-2017-04-30
奉贤,杨王工业园区低洼地回填-11123,光钱路、红旗港路,杨王工业园区,工程渣土&nbsp;,100000,40000,2015-01-27-2017-01-31
奉贤,大叶公路7318号能率公司回填-14917,大叶公路7318号能率公司,能率公司,工程渣土&nbsp;,50000,40000,2016-05-10-2016-10-30
奉贤,青村镇南奉公路金钱公路口-14876,青村镇南奉公路金钱公路口,青村政府,工程渣土&nbsp;,50000,40000,2016-04-29-2016-12-30
奉贤,佳兆业8号二期工程场地-14856,佳兆业8号二期工程场地浦卫公路、吕桥路,深圳建工,工程渣土&nbsp;,50000,40000,2016-04-27-2016-12-30
奉贤,上海小城1期回填-14711,新四平公路、坎中路,东源地产,工程渣土&nbsp;,60000,40000,2016-04-13-2016-09-30
奉贤,柘林营房村低洼地绿化用土-14791,海湾路、海泉路营房村低洼地,柘林农业服务中心,工程渣土&nbsp;,80000,40000,2016-04-21-2016-12-30
奉贤,漕河泾回填-11557,漕河泾回填,江苏溧阳建设集团有限公司,工程渣土&nbsp;,50000,39400,2015-06-05-2018-07-31
奉贤,浦秀村九组-12891,浦秀村九组,浦秀村村委会,工程渣土&nbsp;,50000,39000,2015-11-16-2017-02-16
奉贤,柘林镇兴园村5组-14251,柘林镇兴园村5组胡阮路北侧虾塘,兴园村村委,工程渣土&nbsp;,80000,37600,2016-02-24-2017-02-24
奉贤,朗诗项目回填-11332,大叶公路、金钱路,上海朗铭房地产开发有限公司,工程渣土&nbsp;,40000,36000,2015-04-09-2017-04-30
奉贤,姚氏养殖基地回填-11491,姚氏养殖基地,姚氏特种养殖有限公司,工程渣土&nbsp;,300000,36000,2015-05-20-2019-05-31
奉贤,虹梅南路、金海路绿化工程-11245,虹梅南路、金海路,上海奉贤建发集团,工程渣土&nbsp;,100000,34000,2015-03-13-2016-05-31
奉贤,大叶公路、金闸路绿化回土-12749,大叶公路、金闸路绿化回土,奉贤区金汇绿化市容所,工程渣土&nbsp;,50000,34000,2015-11-06-2017-11-30
奉贤,九华丽苑（三期）回填-14394,奉浦九华路南侧、环城东路西侧,九华丽苑项目部,工程渣土&nbsp;,40000,30000,2016-03-10-2016-12-31
奉贤,上海市公安局七五一基地二处鱼塘回填-11654,海湾旅游区浦星公路西侧人民塘路南侧,上海世毅实业有限公司,工程渣土&nbsp;,50000,28400,2015-07-31-2016-10-30
奉贤,泰日石材市场绿化填土-11681,泰日石材市场绿化填土,乐善村村委会,工程渣土&nbsp;,50000,28000,2015-08-07-2016-12-31
奉贤,东原郦湾回填-14431,清宁路、万顺路东原,长川房产,工程渣土&nbsp;,80000,27000,2016-03-14-2016-12-30
奉贤,佳兆业土方回填-10850,钜庭路、浦卫公路,荣湾兆业有限公司,工程渣土&nbsp;,50000,26000,2014-11-27-2016-12-31
奉贤,环城西路3111号-11760,环城西路3111号,上海市工业综合开发区有限公司,工程渣土&nbsp;,100000,20000,2015-08-31-2020-08-31
奉贤,柘林南胜村二组回填-14874,柘林南胜村二组覆土回填,南胜村,工程渣土&nbsp;,50000,20000,2016-04-29-2016-12-30
奉贤,青村奉柘路、金海路、金海支路回填-14453,青村镇奉柘公路、金海路、金海支路口,青村镇,工程渣土&nbsp;,30000,20000,2016-03-16-2016-06-30
奉贤,浦星公路/大叶公路/沿钱路西侧陶宅村-14493,浦星公路/大叶公路/沿钱路西侧陶宅村,上海世毅实业有限公司,工程渣土&nbsp;,50000,20000,2016-03-21-2017-03-20
奉贤,嘉园路1258号奉商实业回填-14592,金汇镇嘉园路1258号,奉商实业公司,工程渣土&nbsp;,30000,19000,2016-03-30-2016-06-30
奉贤,金海社区茂园路低洼地-10716,茂园路、岚丰路,金海社区办事处,工程渣土&nbsp;,20000,19000,2014-10-30-2016-10-31
奉贤,秋月朗庭回填-11348,陈桥路、九华路,中环南城置业有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,20000,18000,2015-04-10-2017-04-30
奉贤,科工路-10891,科工路,上海众鑫纺织实业有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,20000,18000,2014-12-12-2016-12-31
奉贤,银基回填-14292,南奉公路、金海路交接处,银基发展,工程渣土&nbsp;,40000,16000,2016-02-26-2016-08-30
奉贤,平宇路585号厂房回填-11722,平宇路585号厂房回填,上海云峰建设有限公司,工程渣土&nbsp;,50000,15000,2015-08-18-2019-08-31
奉贤,星火开发区民乐路118号-13349,星火开发区民乐路118号,上海致中和健康食品有限公司,工程渣土&nbsp;,30000,14000,2015-12-16-2017-03-31
奉贤,大居15-30A-03A地块回填土方-13149,大居15-30A-03A地块回填土方,大居15-30A-03A地块项目部,工程渣土&nbsp;,50000,14000,2015-11-27-2017-02-28
奉贤,法华垃圾场覆土-11143,法华垃圾场,奉贤区柘林镇农业服务中心,工程渣土&nbsp;,50000,13000,2015-02-04-2017-02-28
奉贤,人杰路、航南路低洼地回填-13151,人杰路、航南路低洼地回填,奉贤经济开发区新型产业园区,工程渣土&nbsp;,400000,10180,2015-11-27-2017-11-30
奉贤,环城西路、城普路-10852,环城西路、城普路,上海市工业综合开发区有限公司,工程渣土&nbsp;,20000,10000,2014-11-27-2016-12-31
奉贤,柘林镇迎龙村6组-11661,柘林镇迎龙村6组,柘林镇迎龙村村委会,工程渣土&nbsp;,10000,10000,2015-08-04-2020-08-04
奉贤,奉城镇北门村-11660,奉城镇北门村,奉城镇北门村村委会,工程渣土&nbsp;,50000,10000,2015-08-04-2020-08-04
奉贤,上海生物制品研究所金海路广丰路-11629,上海生物制品研究所金海路广丰路,上海生物制品研究所,建筑垃圾&nbsp;工程渣土&nbsp;,20000,10000,2015-07-16-2019-08-31
奉贤,江山路、新杨公路-13350,江山路、新杨公路,上海昌强重工机械有限公司,工程渣土&nbsp;,50000,10000,2015-12-16-2017-12-16
奉贤,华严村8、10组回填-14853,华严村8、10组回土覆盖,华严村委,工程渣土&nbsp;,20000,10000,2016-04-26-2016-12-30
奉贤,青村镇陶宅村沿线路西侧回填-14832,青村陶宅沿钱路西侧,陶宅村委会,工程渣土&nbsp;,70000,10000,2016-04-25-2016-12-31
奉贤,悦达回填-14774,汇丰北路、望园路,悦达建设,工程渣土&nbsp;,30000,10000,2016-04-20-2016-12-30
奉贤,扶港路、西闸路回填-14172,扶港路、西闸路,徽环,工程渣土&nbsp;,10000,10000,2016-02-19-2016-12-30
奉贤,奉浦大道南新型产业园区回填-14753,奉浦大道南、地灵路东,奉贤经济开发区新型产业园区,工程渣土&nbsp;,60000,10000,2016-04-19-2016-07-30
奉贤,天和公司卸点-14593,大叶公路5995号,天和公司,建筑垃圾&nbsp;工程渣土&nbsp;,10000,10000,2016-03-30-2016-12-31
