,0,1,2,3,4,5,6,7
0,区域,项目名称,建设地点,工程类别,有效期,卸点信息,排放量,车辆
55,宝山,上海功大建设工程检测有限公司试验楼扩建,宝祁路638号,一般工程-商办楼宇,2015-08-21-2015-10-31,宝山零出土|宝山零出土,0,1
56,宝山,中国移动互联网产业基地,顾陈路430号,一般工程-商办楼宇,2015-08-05-2015-10-31,宝山零出土|宝山零出土,0,1
57,宝山,宝山区奇石陈列馆,潘泾路2888号,一般工程-商办楼宇,2015-07-09-2015-10-31,宝山零出土|宝山零出土,0,1
58,宝山,改扩建厂房二期,丰翔路1111号,一般工程-商办楼宇,2015-07-31-2015-09-30,宝山零出土|宝山零出土,0,1
59,宝山,上海财经大学三门路公寓教师周转房装修工程,三门路435弄,一般工程-商办楼宇,2015-08-21-2015-09-30,宝山零出土|宝山零出土,0,1
60,宝山,上海市大场中学操场改造,南陈路259号,一般工程-商办楼宇,2015-09-06-2015-09-30,宝山零出土|宝山零出土,0,1
61,宝山,上海盛顺服装有限公司扩建厂房,富联路888号,一般工程-商办楼宇,2015-08-25-2015-09-30,宝山零出土|宝山零出土,0,1
62,宝山,上海市宝山职业技术学校操场改造,淞发路99号,一般工程-商办楼宇,2015-09-06-2015-09-30,宝山零出土|宝山零出土,0,1
63,宝山,罗泾镇标准化老年学校房屋修缮工程,罗泾镇陈东路121号,一般工程-商办楼宇,2015-07-17-2015-09-29,宝山零出土|宝山零出土,0,1
64,宝山,上海交通大学附属中学学生餐厅装修工程,殷高路42号,一般工程-商办楼宇,2015-08-27-2015-09-20,宝山零出土|宝山零出土,0,1
65,宝山,工业设计研发展示用房二期二标段,长江西路685号,一般工程-商办楼宇,2015-05-05-2015-08-31,宝山零出土|宝山零出土,0,1
66,宝山,宝山区申花幼儿园迁建工程项目,罗店镇市一路162号,一般工程-商办楼宇,2015-05-08-2015-08-31,宝山零出土|宝山零出土,0,1
67,宝山,张士村公共服务中心迁建项目,富张西路北侧,一般工程-商办楼宇,2015-06-15-2015-08-31,宝山零出土|宝山零出土,0,1
68,宝山,超高强度热成型冲压件项目,罗宁路1186号,一般工程-商办楼宇,2015-06-03-2015-08-31,宝山零出土|宝山零出土,0,1
69,宝山,顾村公园二期F1-06地块动迁安置房项目一、二标,长白山路、菊太路口,一般工程-商办楼宇,2015-01-23-2015-07-31,宝山零出土|宝山零出土,0,1
70,宝山,罗店新镇F1-6地块商品住宅项目(四标段),抚远路东侧近罗迎路处,一般工程-商办楼宇,2015-03-26-2015-07-31,宝山零出土|宝山零出土,0,1
71,宝山,五星村老企业厂房拆除工程,山连路500号,一般工程-商办楼宇,2015-05-04-2015-07-31,宝山零出土|宝山零出土,0,1
72,宝山,塘祁路(瑞丰路-祁连山路)住宅市政配套工程,塘祁路(瑞丰路-祁连山路),一般工程-商办楼宇,2015-04-07-2015-07-31,宝山零出土|宝山零出土,0,1
73,宝山,顾村共富社区配套服务中心项目,联谊路，联泰路,一般工程-商办楼宇,2015-06-16-2015-07-15,宝山零出土|宝山零出土,0,1
74,宝山,罗店中心镇新镇区C6-2地块项目,杨南路沪太路口,一般工程-商办楼宇,2015-02-09-2015-06-30,宝山零出土|宝山零出土,0,1
75,宝山,新建通用厂房,杨南路北侧、锦伟路西侧,一般工程-商办楼宇,2014-11-25-2015-06-30,宝山零出土|宝山零出土,0,1
76,宝山,生产辅助用房扩建工程,飞云路555号,一般工程-商办楼宇,2015-03-20-2015-06-30,宝山零出土|宝山零出土,0,1
77,宝山,低温位余热回收装置研发设计中心辅助楼二,园庆路城银路口,一般工程-商办楼宇,2015-02-06-2015-06-30,宝山零出土|宝山零出土,0,1
78,宝山,罗店镇2014年顾家宅桥等四座农村桥梁改造工程,罗店镇内顾家宅桥等四座农村桥,一般工程-商办楼宇,2015-03-03-2015-06-30,宝山零出土|宝山零出土,0,1
79,宝山,宝钢安全生产培训演练与技能实训功能改善项目改建项目,四元路19号,一般工程-商办楼宇,2015-03-20-2015-06-30,宝山零出土|宝山零出土,0,1
80,宝山,联水路(钱陆路-罗店界)道路整治工程,联水路(钱陆路-罗店界),一般工程-商办楼宇,2015-04-02-2015-06-30,宝山零出土|宝山零出土,0,1
81,宝山,园区支路长虹路道路新建工程,长虹路(金筐路至宝钱公路),一般工程-商办楼宇,2015-03-05-2015-05-18,宝山零出土|宝山零出土,0,1
82,宝山,月浦镇马泾桥公共服务中心,富乐路37号,一般工程-商办楼宇,2015-02-05-2015-04-30,宝山零出土|宝山零出土,0,1
83,宝山,上海小银星服饰有限公司改扩建项目,园光路188号,一般工程-商办楼宇,2015-01-16-2015-04-30,宝山零出土|宝山零出土,0,1
84,宝山,本钢集团华东区总部基地及基于物联网的物流项目,潘泾路、祁北路,一般工程-商办楼宇,2014-12-17-2015-03-31,宝山零出土|宝山零出土,0,1
85,宝山,扩建辅助用房及仓库,陈川西路9号,一般工程-商办楼宇,2014-11-19-2015-03-31,宝山零出土|宝山零出土,0,1
86,宝山,宝山87路(暂名)公交枢纽站、直线式及港湾式停靠站工程,萧云路、潘川路口,一般工程-商办楼宇,2014-12-09-2015-03-31,宝山零出土|宝山零出土,0,1
87,宝山,改扩建厂房,长发路65号,一般工程-商办楼宇,2014-10-27-2014-12-31,宝山零出土|宝山零出土,0,1
88,宝山,顾村镇GC-D-2编制单元E2-08地块动迁安置房项目一标,东至规划长白山路，西至农田，南至规划菊太路，北至公共绿化,一般工程-商办楼宇,2014-10-09-2014-12-31,宝山零出土|宝山零出土,0,1
89,宝山,高境镇A1-08地块商品房住宅,恒高路高境路,一般工程-商办楼宇,2014-10-23-2014-12-31,宝山零出土|宝山零出土,0,1
90,宝山,产业结构调整节能减排技改项目,蕴川路5001号,一般工程-商办楼宇,2014-09-28-2014-12-31,宝山零出土|宝山零出土,0,1
91,宝山,智能化大螺杆压缩机厂房新建项目,沪樊路53号,一般工程-商办楼宇,2014-09-28-2014-12-31,宝山零出土|宝山零出土,0,1
92,宝山,年产24万件不锈钢管制法兰,长虹路东侧,一般工程-商办楼宇,2014-10-09-2014-12-31,宝山零出土|宝山零出土,0,1
93,宝山,罗泾镇百姓健身步道工程,新川河两岸花园内,一般工程-商办楼宇,2014-10-10-2014-12-31,宝山零出土|宝山零出土,0,1
94,宝山,航天航空用钛合金项目,潘泾路、罗盛路,一般工程-商办楼宇,2014-10-31-2014-12-31,宝山零出土|宝山零出土,0,1
95,宝山,华润雪花啤酒全装车间项目,罗东路1398号,一般工程-商办楼宇,2014-11-06-2014-12-31,宝山零出土|宝山零出土,0,1
96,宝山,罗店大型居住社区经济适用房C5地块,富张路、西朱路,一般工程-商办楼宇,2014-12-10-2014-12-31,宝山零出土|宝山零出土,0,1
97,宝山,罗店大型居住社区动迁房C7地块,陶浜路,一般工程-商办楼宇,2014-12-10-2014-12-31,宝山零出土|宝山零出土,0,1
98,宝山,康宁路(区界-A20公路)道路新改建工程C05标,康宁路(区界-长江西路),一般工程-商办楼宇,2016-05-12-2016-05-30,联谊路渣土转运码头（干）|联谊路31号,100,26
99,宝山,宝山新城SB-A-4上港十四区产业转型项目暨上港滨江城总体开发建设项目,东至长江、西至牡丹江路、南至上港集团权证边界、北至宝钢护厂河,一般工程-商办楼宇,2015-11-16-2016-05-30,联谊路渣土转运码头（干）|联谊路31号,100,1
100,宝山,漠河路(同济路-东林路)道路大修工程二标段,漠河路(同济路-东林路),一般工程-商办楼宇,2016-05-09-2016-05-30,联谊路渣土转运码头（干）|联谊路31号,100,2
101,宝山,杨行镇西城区南块16-01地块商业、住宅、办公项目2标段,松兰路水产路口,一般工程-商办楼宇,2016-03-16-2016-04-30,联谊路渣土转运码头（干）|联谊路31号,100,1
102,宝山,新建宝山区通河新村第三小学综合楼工程,通河路345号,一般工程-商办楼宇,2016-03-30-2016-04-30,立及泰和路码头（干）|泰和路1810号,100,1
103,宝山,新建宝山区月浦新村第三小学餐厅和综合楼,月浦八村138号,一般工程-商办楼宇,2016-03-18-2016-04-30,联谊路渣土转运码头（干）|联谊路31号,100,1
104,宝山,宝山区顾村大型居住社区BSPO-0104单元0403-03地块动迁安置房项目,东至宝正路，西至周家浜支河，南至厚仁路，北至潘广路,一般工程-商办楼宇,2016-02-25-2016-03-31,城市工业园区中转码头（干）|锦秋路2455号,100,1
105,宝山,新建上海市淞浦中学食堂体育综合楼项目,德都路168弄87号,一般工程-商办楼宇,2016-03-07-2016-03-31,宝钢铁山路渣土码头（干）|铁山路2号,100,1
106,宝山,宝山新城08-07地块商品住宅项目二期,电台路苏家浜路口,一般工程-商办楼宇,2016-01-29-2016-02-29,宝钢铁山路渣土码头（干）|铁山路2号,100,1
107,宝山,宝山区顾村原选址基地A-5地块项目,陆翔路菊太路口,一般工程-商办楼宇,2016-01-13-2016-02-29,宝钢铁山路渣土码头（干）|铁山路2号,100,1
108,宝山,宝山区（南）公交起讫站整治维护项目,宝山区南部片区公交起讫站点35个,一般工程-商办楼宇,2016-01-06-2016-02-29,宝钢铁山路渣土码头（干）|铁山路2号,100,1
109,宝山,宝山区（北）公交起讫站整治维护项目,宝山区北部片区公交起讫站点38个,一般工程-商办楼宇,2016-01-22-2016-02-29,立及泰和路码头（干）|泰和路1810号,100,1
110,宝山,上海市宝山区盛桥新村幼儿园综合楼扩建工程,盛桥新村4弄44号,一般工程-商办楼宇,2015-12-15-2016-01-31,联谊路渣土转运码头（干）|联谊路31号,100,1
111,宝山,新建生产用房(四期工程),园和路南侧,一般工程-商办楼宇,2015-12-10-2015-12-31,宝钢铁山路渣土码头（干）|铁山路2号,100,1
112,宝山,宝山区广育小学总体翻建工程,宝林二村76号,一般工程-商办楼宇,2015-11-03-2015-12-31,立及泰和路码头（干）|泰和路1810号,100,1
113,宝山,展示厅加层,富联二路198号,一般工程-商办楼宇,2015-10-29-2015-12-31,联谊路渣土转运码头（干）|联谊路31号,100,1
114,宝山,中邮普泰通信服务股份有限公司改建项目,真大路450弄11号,一般工程-商办楼宇,2015-10-27-2015-12-31,联谊路渣土转运码头（干）|联谊路31号,100,1
115,宝山,上海大学附属学校暑期修缮项目,丰宝路135号,一般工程-商办楼宇,2015-08-12-2015-08-31,立及泰和路码头（干）|泰和路1810号,100,1
116,宝山,新建张庙敬老院工程,长江西路1181号,一般工程-商办楼宇,2015-03-13-2015-05-29,立及泰和路码头（干）|泰和路1810号,100,1
117,宝山,上海交通大学医学院附属第三人民医院外科大楼装饰装修,漠河路280号,一般工程-商办楼宇,2015-01-26-2015-05-29,立及泰和路码头（干）|泰和路1810号,100,1
118,宝山,牡丹江路(泰和路-漠河路)道路大修工程,牡丹江路(泰和路-漠河路),一般工程-商办楼宇,2014-10-16-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
119,宝山,新建厂房项目投资及建筑规模工程,山连路511号,一般工程-商办楼宇,2014-10-11-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
120,宝山,凯泰阀门(集团)有限公司改扩建项目,丰翔路1675号,一般工程-商办楼宇,2014-10-16-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
121,宝山,富长路道路新改建工程C02标段,富长路(A20公路-金石路),一般工程-商办楼宇,2014-11-26-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
122,宝山,富长路道路新改建工程C08标段,富长路(A20公路-金石路),一般工程-商办楼宇,2014-11-26-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
123,宝山,二工大柒立方大学科技园装修项目,同济支路199号,一般工程-商办楼宇,2014-11-10-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
124,宝山,大场镇祁连中心校校舍抗震加固项目,祁连二村118号,一般工程-商办楼宇,2014-12-04-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
125,宝山,富长路道路新改建工程C10标段,富长路(A20公路-金石路),一般工程-商办楼宇,2014-11-26-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
126,宝山,上海市交通学校第三教学楼抗震加固项目,呼兰路763号,一般工程-商办楼宇,2014-12-05-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
127,宝山,富长路道路新改建工程C12标段,富长路(A20公路-金石路),一般工程-商办楼宇,2014-11-26-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
128,宝山,富长路道路新改建工程C13标段,富长路(A20公路-金石路),一般工程-商办楼宇,2014-11-26-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
129,宝山,宝林一村通道整治工程,宝林一村,一般工程-商办楼宇,2014-11-10-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
130,宝山,通河全民健身活动中心大修工程,通河路590号,一般工程-商办楼宇,2014-11-20-2014-12-31,立及泰和路码头（干）|泰和路1810号,100,1
131,宝山,上海市宝山职业技术学校校舍修缮工程,淞发路99号,一般工程-商办楼宇,2015-08-03-2015-08-31,立及泰和路码头（干）|泰和路1810号,160,1
132,宝山,大华路（汶水路-大华一路）道路大修,大华路（汶水路-大华一路）,一般工程-商办楼宇,2013-12-18-2014-03-31,祁军石料场废石块再生利用|锦南路80号,161.67,5
133,宝山,档案馆租赁三水国际广场商业用房装修工程项目,化成路366弄8号,一般工程-商办楼宇,2016-02-24-2016-03-31,联谊路渣土转运码头（干）|联谊路31号,200,1
134,宝山,呼兰路701号装修项目,呼兰路通河路口,一般工程-商办楼宇,2015-09-17-2015-10-31,立及泰和路码头（干）|泰和路1810号,200,1
135,宝山,上海市宝山区第三中心小学新建综合楼工程,呼玛路792号,一般工程-商办楼宇,2015-09-10-2015-09-30,立及泰和路码头（干）|泰和路1810号,200,1
136,宝山,大场镇社会事务服务中心内部修缮工程,大场镇沪太路以西,一般工程-商办楼宇,2014-12-25-2015-02-28,立及泰和路码头（干）|泰和路1810号,200,1
137,宝山,红太阳商业广场A区，B区扩建项目,通河路533弄1号等,一般工程-商办楼宇,2014-10-17-2014-12-31,立及泰和路码头（干）|泰和路1810号,200,1
138,宝山,宝山监狱X3附属用户大修,沪太公路6178号,一般工程-商办楼宇,2015-08-06-2015-09-30,立及泰和路码头（干）|泰和路1810号,250,1
139,宝山,宝山区人民法院刑事审判庭业务用房修缮工程,月罗公路2099号,一般工程-商办楼宇,2015-09-11-2015-09-30,立及泰和路码头（干）|泰和路1810号,250,1
140,宝山,上海市吴淞中学校舍修缮,泰和路99号,一般工程-商办楼宇,2015-07-31-2015-08-31,立及泰和路码头（干）|泰和路1810号,250,1
141,宝山,上海市行知中学校舍修缮工程,子青路99号,一般工程-商办楼宇,2015-06-30-2015-08-31,立及泰和路码头（干）|泰和路1810号,250,1
142,宝山,南区锅炉房报废烟囱拆除,同济路宝钢特钢,一般工程-商办楼宇,2012-12-10-2012-12-31,天平村八房宅地块平整|潘泾路东侧、罗北路南侧天平村,260,1
143,宝山,逸骅实业业务用房装修改造项目,何家湾路11号,一般工程-商办楼宇,2012-12-04-2012-12-31,星星村低洼地场地平整|湄星路1606号,300,11
144,宝山,高境第一中学视听室拆除工程,高境一村110号,一般工程-商办楼宇,2012-03-15-2012-04-30,陶浜路远景村卸点场地平整|陶浜路北侧、沪太路西侧远景村,300,1
145,宝山,宝山监狱停车场大修,沪太公路6178号,一般工程-商办楼宇,2015-08-05-2015-09-30,立及泰和路码头（干）|泰和路1810号,350,1
146,宝山,上海市宝山区月浦六村幼儿园校舍修缮,月浦六村49号,一般工程-商办楼宇,2015-07-01-2015-08-31,宝钢铁山路渣土码头（干）|铁山路2号,375,1
147,宝山,上海市盛桥中学教学综合楼修缮工程,盛桥石太路10号,一般工程-商办楼宇,2015-07-01-2015-08-31,宝钢铁山路渣土码头（干）|铁山路2号,375,1
148,宝山,精密冷弯高强钢异型复杂截面高效成形RF500生产线技改项目,宝杨路2056号,一般工程-商办楼宇,2016-03-14-2016-04-30,联谊路渣土转运码头（干）|联谊路31号,400,1
149,宝山,塘祁路(瑞丰路-KO+140)新建市政配套工程,塘祁路(瑞丰路-KO+140),一般工程-商办楼宇,2015-11-10-2015-12-31,宝钢铁山路渣土码头（干）|铁山路2号,400,1
150,宝山,宝山区呼玛二村幼儿园扩建教学楼工程,呼玛二村251号,一般工程-商办楼宇,2015-07-01-2015-09-30,立及泰和路码头（干）|泰和路1810号,400,1
151,宝山,宝山区呼玛二村幼儿园校舍修缮工程,呼玛二村251号,市重点工程-商住楼宇,2015-07-01-2015-08-31,立及泰和路码头（干）|泰和路1810号,400,1
152,宝山,罗店中学校舍修缮工程,罗新路707号,一般工程-商办楼宇,2015-07-03-2015-08-31,立及泰和路码头（干）|泰和路1810号,450,1
153,宝山,上海宝山区行知幼稚园校舍修缮工程,宝林路宝林三村46号,一般工程-商办楼宇,2015-06-30-2015-08-31,立及泰和路码头（干）|泰和路1810号,450,1
154,宝山,上海市顾村中学校舍修缮工程,电台路93号,一般工程-商办楼宇,2015-07-01-2015-08-31,立及泰和路码头（干）|泰和路1810号,450,1
155,宝山,淞南镇截污纳管攻坚战第一批点污染源连管工程,江杨南路（通南路口）、通南路、长江南路、长江西路、长江路,一般工程-商办楼宇,2016-03-02-2016-03-31,联谊路渣土转运码头（干）|联谊路31号,500,1
156,宝山,庙行排水系统工程,南蕴藻路818号,一般工程-商办楼宇,2014-01-03-2014-02-28,申鸥泥浆中转码头（泥）|江杨南路2951号,500,4
157,宝山,晨帆路新建住宅市政配套,晨帆路(一二八纪念路至斜塘河),一般工程-商办楼宇,2012-11-20-2012-12-31,祁军石料场废石块再生利用|锦南路80号,500,8
158,宝山,宝山特警队营房、训练场项目旧房拆除,宝杨路628号,一般工程-商办楼宇,2012-08-27-2012-12-31,罗泾黄瑶湾地块场地平整|川雄路东侧、长江防汛堤外侧,500,1
159,宝山,上大聚丰园三期商品住宅,丰翔路南、界泾河西,一般工程-商办楼宇,2012-11-26-2012-11-30,园区A8新媒体项目场地平整|山茶路近金勺路口,500,8
160,宝山,罗店大居社区整治渣土,富张路沿线两侧,一般工程-商办楼宇,2012-09-29-2012-09-30,天平村八房宅地块平整|潘泾路东侧、罗北路南侧天平村,500,4
161,宝山,顾村一号基地装潢垃圾清运,沪太路西侧、潘广路两侧,一般工程-商办楼宇,2012-07-11-2012-07-14,泰和路渣土中转码头（干）|泰和路717弄64号,500,6
162,宝山,吴淞西块90号、91号旧区改造拆除工程,淞滨路.淞兴路,一般工程-商办楼宇,2011-11-30-2011-12-31,高尔夫球场场地改造|潘泾路西、杨南路北侧(美兰湖南湖泊工地),500,1
163,宝山,大华路(大华二路至大华一路)道路中修工程,大华路(大华二路至大华一路),一般工程-商办楼宇,2011-11-08-2011-12-31,束里桥村鱼塘复耕|月罗路1116号南侧,500,3
